8859_1,
, This file is a of audit categories (from the logger names) to friendlier names

aribaAudit, "General"
aribaAuditCommitNow, "General"
aribaAudit.admin, "Admin"
aribaAuditCommitNow.admin, "Admin (tasks/files)"
aribaAuditCommitNow.apputil, "Admin AppUtil"
aribaAuditCommitNow.dashboard, "Dashboard"
aribaAuditCommitNow.sso, "SSO"
aribaAuditCommitNow.exception, "Exception"
aribaAuditCommitNow.parameters, "Parameters"
aribaAuditCommitNow.approvable, "General"
aribaAuditCommitNow.realmPurge, "Realm Purge"
aribaAuditCommitNow.translations, "Translations"
aribaAuditCommitNow.integration, "Integration"
aribaAuditCommitNow.reportTimeout, "Report Timeout"
aribaAuditCommitNow.analysis, "Analysis"
aribaAuditCommitNow.schemaRealmMapping, "Schema Realm Mapping"
aribaAuditCommitNow.cdsSyncVerifier, "CDS Sync Verifier"
aribaAuditCommitNow.cdsDataValidator, "CDS Data Sync Verifier"
aribaAuditCommitNow.search, "Search"
aribaAuditCommitNow.signature, "Signature"
