Cp1252,
, This file is a mapping of all of the categories to their descriptions

action, "Suivi des actions et conditions"
adapter, "Adaptateurs externes"
adaptersql, "Instructions SQL des adaptateurs externes"
admin, "Messages liés à Ariba Buyer Administrator"
adminLow, "Messages de bas niveau liés à Ariba Buyer Administrator"
adminui, "Messages liés à la gestion des catalogues"
all, "Toutes les catégories de messages"
allocIds, "Allocation des ID par le serveur"
analysisMaster, "Catégorie principale Analysis"
analysisMaster.analysis, "Divers Analysis"
analysisMaster.analysisAdmin, "Messages liés à Ariba Analysis Administrator"
analysisMaster.analysisDataLoad, "Chargement de données Analysis"
analysisMaster.analysisLoadDetails, "Journal détaillé des chargements de données Analysis"
analysisMaster.analysisQuery, "Opérations de requête Analysis"
analysisMaster.analysisMDCache, "Cache Analysis"
analysisMaster.analysisRecentUserChoice, "Suivi des informations relatives aux choix récents des utilisateurs"
analysisMaster.analysisOlap, "OLAP Analysis"
analysisMaster.analysisBackground, "Rapports d'arrière-plan Analysis"
analysisMaster.loadfile, "Téléchargement de fichiers Analysis"
analysisMigration,"Migration Analysis"
appInfoExtension, "Messages liés aux extensions appInfo, uniquement pertinents dans le cadre des services partagés."
appIntegrate, "Utilitaires d'intégration inter-applications"
application, "Informations relatives à l'application"
application.chargeLoading, "Informations cXML de chargement des dépenses"
application.charge, "Informations relatives aux dépenses"
application.customApprover, "Messages liés au code client écrit pour traiter des approbations externes spéciales"
application.cxml.aribaNetworkException, "Erreurs générales liées au réseau Ariba"
application.cxml.cxmlOcAsn, "Suivi de la logique commune aux processus d'avis d'expédition avancés et de confirmations de commandes"
application.cxml.punchout, "Informations cXML PunchOut"
application.grid, "Messages liés aux activités relatives aux grilles et aux cellules dans les conditions tarifaires s'appliquant aux contrats"
application.orgPartition, "Messages liés au partitionnement des organisations"
application.paymentTerms, "Suivi des informations de conditions de paiement"
application.pricing, "Suivi des conditions tarifaires"
application.procurement, "Suivi des informations d'approvisionnement"
application.procurement.advancedShipNotice, "Suivi du processus d'avis d'expédition avancé"
application.procurement.categoryProcurement, "Suivi des fonctions liées à Category Procurement"
application.procurement.categoryProcurement.categoryDefinitionPropertyAccess, "Suivi de la visibilité et des possibilités de modification des propriétés des définitions de catégorie"
application.procurement.categoryProcurement.categoryDefinitionPropertyCompliance, "Suivi de la conformité des valeurs des propriétés des définitions de catégorie"
application.procurement.categoryProcurement.categoryDefinitionPropertyUpdate, "Suivi de la mise à jour des valeurs des propriétés des définitions de catégorie"
application.procurement.aggregation, "Suivi lié au regroupement"
application.procurement.budget, "Suivi lié au budget"
application.procurement.content, "Suivi lié au contenu"
application.procurement.contract, "Suivi lié aux contrats"
application.procurement.contract.contractPricing, "Suivi des informations tarifaires liées aux contrats"
application.procurement.contract.sla, "Suivi des informations des accords de niveau service des contrats"
application.procurement.electronicOrder, "Traitement des commandes électroniques"
application.procurement.excelImport, "Informations relatives aux importations Excel"
application.procurement.accrual, "Traitement des accumulateurs de provisions et d'engagements"
application.procurement.accrualMigrate, "Tâche de migration liée aux provisions"
application.procurement.itemMaster, "Fonctionnalité article-maître"
application.procurement.orderConfirmation, "Suivi du processus de confirmation des commandes"
application.procurement.ordering, "Suivi de la progression de la mise en forme et de la transmission des commandes"
application.procurement.payment, "Suivi des activités de paiement des factures"
application.procurement.receiving, "Suivi des informations de réception"
application.procurement.receiving.detail, "Suivi des informations de réception plus détaillées"
application.procurement.requisitioning, "Suivi des informations relatives aux demandes d'achat"
application.procurement.service, "Suivi des fonctionnalités relatives aux services"
application.procurement.service.servicePropertyAccess, "Suivi de la visibilité et des possibilités de modification des propriétés des services"
application.procurement.service.servicePropertyCompliance, "Suivi de la conformité des valeurs des propriétés des services"
application.procurement.service.servicePropertyUpdate, "Suivi de la mise à jour des valeurs des propriétés des services"
application.procurement.sourcing, "Suivi des informations de sourcing"
application.procurement.subscriptionTracker, "Suivi lié à SubscriptionTracker"
application.procurement.repair, "Suivi des informations relatives au nettoyage ou à la réparation des données"
application.reconciliation, "Suivi des écarts de rapprochement et de génération de facture"
application.reconciliation.invoicing, "Suivi des informations de facturation"
application.reconciliation.invoicing.invoiceLoading, "Suivi des informations de chargement des factures"
invoiceDiagnostics, "Suivi des informations de débogage de la facturation"
application.reconciliation.irEditability, "Suivi des possibilités de modification et de la validation des documents de rapprochement de facture"
application.reconciliation.pcard, "Suivi du traitement des cartes d'achat et du chargement des dépenses"
application.report, "Suivi des informations relatives aux rapports"
application.search, "Suivi des informations de recherche"
application.supplierSync, "Informations liées à la synchronisation des fournisseurs"
application.tax, "Suivi des calculs et opérations sur les taxes"
approvable, "Actions sur les documents à approuver"
approvalFlow, "Suivi des informations liées aux procédures d'approbation"
aql, "Suivi des informations NQA"
aql.query, "Opérations de requête"
aql2capi, "Mappage NQA/CAPI"
aqlperf, "Informations sur les performances NQA"
aribaISServer, "Messages envoyés au serveur Ariba"
aribaMappingException, "Erreurs relatives au mappage PunchOut/catalogue"
aribaNetwork, "Communication sur le réseau Ariba (haut niveau)"
aribaNetworkLow, "Communication sur le réseau Ariba (bas niveau)"
aribaweb, "Relatif aux sessions Web et http Ariba"
aribaweb.fileupload, "Informations de bas niveau liées au téléchargement des fichiers"
aribaweb.formValue, "Informations liées à la queue des valeurs de formulaires"
aribaweb.ihr, "Informations relatives à aribaweb hr"
aribaweb.session, "Informations relatives aux sessions aribaweb"
aribawebdomsync, "Informations de traitement générales du domaine aribaweb"
aribawebdomsync.element, "Informations générales de traitement des éléments du domaine aribaweb"
aribaweb_request, "Permet de consigner des informations de base liées aux demandes (demande URI, paramètres de requête, valeurs de formulaires, cookies)"
aribaweb_html, "Suivi de sortie source HTML"
aribaweb_errorManager, "Suivi du gestionnaire d'erreurs"
asmMaster,"Données cadre ASM"
asmMaster.punchout,"PunchOut ASM"
asmMaster.asm,"ASM"
asmMaster.loaderDetails, "Détails du chargeur ASM"
asmMaster.discovery, "Suivi Ariba Discovery"
audit, "Activité utilisateur de type administration d'audit qui modifie le système"
auth, "Demandes d'authentification"
autoCalc, "Suivi des calculs automatiques pour les champs Main-d'oeuvre"
awf, "Génération HTML et fonctionnement interne de l'infrastructure Web Ariba"
axDecodingInfo, "Informations générales de décodage XML"
axDecodingProtocolTrace, "Suivi de protocole AXDecoding de décodage XML"
axDecodingTrace, "Suivi de décodage XML"
back, "Messages de suivi des pages précédentes"
backplane.pq, "Messages se rapportant à la file d'attente persistante"
backplane.memcached, "Messages de file d'attente persistante du client d'appel de procédures à distance"
bagdump, "Supprimer chaque article de catalogue transformé lors de l'importation"
bagmetrics, "Débogage des indicateurs pour la gestion des jeux de catalogue (CatalogItem)"
base, "Consignation générale du composant de base"
bindings, "Messages de suivi des liaisons de pages HTML"
checkpoint, "Messages de consignation de divers points de contrôle utilisés pour la synchronisation entre différents noeuds"
checkpoint.amf.base, "Messages de consignation des points de contrôle du composant de messagerie"
checkpoint.base, "Messages de consignation des points de contrôle du composant de base"
cXML, "Messages liés au canal cXML"
cXML.channel, "Messages liés au canal cXML"
cXML.configuration, "Messages liés à la configuration du canal cXML"
cXML.detail, "Messages liés aux détails XML du canal cXML"
cXML.document, "Messages liés au trafic XML du canal cXML"
cXML.document.failed, "Messages liés au trafic XML en échec du canal cXML"
cXML.encoding, "Messages liés au codage du canal cXML"
cXML.encodingParse, "Messages d'état liés au codage du canal cXML"
cXML.transport, "Messages liés au transport réseau du canal cXML"
cXML.soap, "Messages liés au transport SOAP du canal cXML"
cXML.reliableDeliveryService, "Messages spécifiques au service de livraison du canal cXML"
cache, "Messages divers provenant du cache des objets"
catalogpublish, "Informations sur les catalogues publiés"
catalog, "Informations générales sur les catalogues"
catalog.type, "Suivi de la gestion des types de catalogues"
catalogdeprecated, "Catégorie principale pour les catégories de journaux de catalogues dépréciées"
catalogdeprecated.catalogCache, "Déprécié - Actions du cache de catalogues"
catalogdeprecated.catalogSearch, "Déprécié - Informations sur les recherches catalogue de haut niveau"
catalogdistributedquery, "Suivi des requêtes distribuées par catalogue"
cataloglow, "Suivi de catalogues de bas niveau"
catalogmetrics, "Consigner les recherches catalogue et charger les indicateurs orientés"
catimages, "Consigner les images de catalogue"
catalogExtract, "Consigner la progression des extractions de catalogue"
catremote, "Suivi des communications noeud à noeud pour un catalogue"
ccm, "Gestionnaire de connexions central (pour les connexions à la base de données)"
cgi, "Messages de débogage des connexions CGI"
channelIO, "Messages liés à l'utilitaire ES des canaux"
channelTibcoMaster, "Tous les messages liés au canal Tibco"
channelui, "Tous les messages associés à l'interface utilisateur administrateur"
channelutil, "Messages utilitaires liés au canal cXML"
choosers, "Tous les messages liés aux sélecteurs et aux contrôleurs de champs correspondants"
clientQuery, "Suivi des requêtes côté client"
clusterGets, "Afficher les extractions pour le groupe"
clusterLocks, "Afficher les verrouillages/déverrouillages pour le groupe"
collaboration, "Suivi lié aux collaborations"
collaborationWF, "Suivi lié aux workflows de collaboration"
commandline, "Consignation des informations de ligne de commande renvoyées par l'application"
comments, "Suivi des informations relatives aux commentaires"
commonObjectOperations, "Toutes opérations liées aux données communes"
configure, "Enregistrer les opérations de l'outil de configuration (configuration et génération de code)"
connect, "Connexions et déconnexions du client"
constraints, "Messages liés aux contraintes"
controllers, "Messages liés aux contrôleurs de champ"
currency, "Informations relatives aux devises"
customer, "Messages liés au code client"
customization,"Messages liés aux personnalisations"
customization.ui, "Messages liés à la personnalisation de l'interface utilisateur"
customization.user, "Messages liés à la personnalisation associée à l'utilisateur"
cxml, "Suivi du PunchOut cXML"
cxmlbase, "Messages liés à l'intégration Buyer/canal cXML"
cxmlbase.lifecycle, "Messages liés au cycle de vie des objets du canal cXML"
cxmlbase.transaction, "Messages liés aux transactions d'intégration Buyer/canal cXML"
cxmlinterop, "Catégorie de consignation générale pour le progiciel d'interopérabilité cxml."
cxmlinteropcommandline, "Catégorie de consignation dépréciée/non utilisée"
cxmlinteropdump, "Catégorie de débogage détaillé qui supprime les messages traités"
cxmlinterophistory, "Catégorie de consignation dépréciée/non utilisée"
cxmlinteroplow, "Catégorie de consignation dépréciée/non utilisée"
dashboard, "Messages du tableau de bord"
data.repairer, "Consignation des informations liées à la tâche de réparation des données"
dbtop, "Opérations de haut niveau dans la base de données"
demoshell, "Suivi dans le shell de démonstration"
directAction, "Suivi des actions directes"
duplicate, "Duplication d'objets"
duplicateaml, "Propriétés AML dupliquées"
editability, "Suivi des possibilités de modification des champs"
email, "Suivi des échanges d'e-mails"
encryptedString, "Suivi des opérations de chaîne cryptées et du recryptage maintenu des données à l'aide d'un algorithme différent"
enumeration, "Messages liés aux énumérations"
environment, "Messages liés aux paramètres du système"
event, "Événements de workflow"
eventQueue, "Suivi de la file d'attente d'événements"
expense, "Note de frais"
expenseAdmin, "Administration via l'interface utilisateur des lignes directrices liées au frais"
expense.tbp, "Agence de voyages"
expense.imaging, "Numérisation de reçus de frais"
expenseExport, "Exportation de données pour Ariba mForm"
expenseMobile, "Messages liés au client mobile du serveur Ariba Buyer"
expensePolicyAudit, "Piste de vérification des mises à jour des paramètres liés aux règles sur les frais et aux audits correspondants"
exprTrace, "Suivi de l'évaluation de toutes les expressions (y compris les expressions personnalisées)"
extracosts, "Coûts supplémentaires"
fetch, "Demandes d'objets adressées au serveur par le client"
fieldProperties, "Messages liés au traitement des propriétés des champs"
fields, "Messages liés au traitement des formats de champs"
fileAccess,"Messages liés à l'accès aux fichiers"
fileChannelIO, "Messages liés aux E/S du canal des fichiers"
folder, "Événements de chargement de dossiers"
form,"Suivi général des messages liés aux formulaires électroniques et aux formulaires."
form.eform, "Suivi des messages associés aux formulaires électroniques"
general, "Messages généraux du journal"
graphs, "Reconstitution d'objet graphique"
group, "Suivi de la génération des affichages de groupe"
harness, "Messages liés au harnais"
harnessContext, "Messages liés aux objets enregistrés/récupérés dans le contexte"
harnessDetails, "Messages de débogage liés au harnais"
help, "Messages liés à l'accès aux pages d'aide"
i18n, "Internationalisation et ressources localisées"
integrationEvent, "Messages liés aux événements d'intégration"
integrationExternal, "Tous les messages publiés par des processus externes lancés par Ariba"
