KS_C_5601-1987,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
TemplateParserPageTitle,"템플릿 파서 오류","Page title for the error message; "
TemplateParserTitle,"템플릿 파서 오류","Title for the template parser error; "
FileErrorMsg,"템플릿 파서: 파일 오류: 템플릿 파일이 없거나 파일을 읽을 수 없습니다.","Invalid template name encountered; "
IOErrorMsg,"템플릿 파서: IO 오류: 템플릿 파일을 읽는 동안 오류가 발생했습니다.","Error while trying to read template file; IO stands for Input / Output; "
,,
BlockoutChar,"X","default blockout character for SecureStringFormatter; Do we have to translate this ?; "
,,
,,
,,
,,
,,
ListSeparator,", ","used to delimit a series of strings when presented "
DayAbbrev,"일","abbreviation for day; "
HourAbbrev,"시간","abbreviation for hours; "
MinutesAbbrev,"분","abbreviation for minutes; "
,,
,, keys used in formatters
,,
BooleanTrue,"예","This is used from BooleanFormatter; "
BooleanFalse,"아니요","This is used from BooleanFormatter; "
BooleanTrueOrFalse,"부울 값은 ""true"" 또는 ""false""여야 합니다.","error when a boolean doesn't contain true or false string"
CannotParseBigDecimal,"""{0}""은(는) 유효한 숫자가 아닙니다.","error when a big decimal cannot be parsed - 0: the big decimal string"
CannotParseDate,"""{0}""은(는) 유효한 날짜가 아닙니다.","error when a date cannot be parsed - 0: the date string"
InvalidCharacterInNumber,"숫자에 유효하지 않은 문자가 있습니다.","error when there is a non-numeric character in a number"
InvalidYear,"유효하지 않은 연","error when the year is invalid in a date"
NoDigitsFound,"숫자 값이 필요합니다.","error when a number is required and no digits are entered"
NumberFormatError,"숫자 값의 형식이 적절하지 않습니다.","friendly error msg for NumberFormatException"
MaxValueExceeded,"값 ""{0}""이(가) 허용된 최대값 ""{1}""보다 큽니다.", "Error when value is greater than allowed (integer overflow)"
MinValueExceeded,"값 ""{0}""이(가) 허용된 최소값 ""{1}""보다 작습니다.", "Error when value is less than allowed (integer underflow)"
WholeNumberRequiredKey,"값 ""{0}""은(는) 정수여야 합니다.", "Error when integer value contains fractions"

