KSC5601,,
Today,"오늘","Technical: String representing today (for convenient input).; "
Yesterday,"어제","Technical: String representing yesterday (for convenient input).; "
Tomorrow,"내일","Technical: String representing tomorrow (for convenient input).; "
YearRelativeFmt,"M월d일","Technical: Must be a valid java.text.DateFormat format.; "
DefaultFmt,"yyyy년M월d일 (E)","Technical: Must be a valid java.text.DateFormat format.; "
LongDefaultFmt,"yyyy년M월d일 (E) a h시mm분","Technical: Must be a valid java.text.DateFormat format.; "
TodayTimeFmt,"'오늘', a h시mm분","Technical: Must be a valid java.text.DateFormat format.; "
TodayFmt,"'오늘'","Technical: Must be a valid java.text.DateFormat format.; "
ConciseDateTimeFmt,"yyyy년M월d일 a h시mm분","Technical: Must be a valid java.text.DateFormat format.; "
PaddedConciseDateTimeFmt,"yyyy년M월d일 a hh시mm분","Technical: Must be a valid java.text.DateFormat format.; "
PaddedDateTimeFmt,"yyyy년M월d일 a h시mm분","Technical: Must be a valid java.text.DateFormat format.; "
PaddedPreciseDateTimeFmt,"yyyy년M월d일 a h시mm분","Technical: Must be a valid java.text.DateFormat format.; "
ConciseFmt,"yyyy년M월d일","Technical: Must be a valid java.text.DateFormat format.; "
PaddedConciseFmt,"yyyy년M월dd일","Technical: Must be a valid java.text.DateFormat format.; "
ExtraConciseFmt,"yy년M월dd일","Technical: Must be a valid java.text.DateFormat format.; "
DayDateMonthYearFmt,"yyyy년M월d일 (E)","Technical: Must be a valid java.text.DateFormat format.; "
DateMonthYearFmt,"yyyy년 M월 d일","Technical: Must be a valid java.text.DateFormat format.; "
FullDateMonthYearFmt,"yyyy년 M월 d일 a h시mm분","Technical: Must be a valid java.text.DateFormat format.; "
FullDateMonthYearTZFmt,"yyyy년 M월 d일 a h시mm분, zzzz","Technical: Must be a valid java.text.DateFormat format.; "
LongDayDateMonthYearFmt,"yyyy년M월d일, (E)","Technical: Must be a valid java.text.DateFormat format.; "
FullDayDateMonthYearFmt,"yyyy년 M월 d일, (E) a h시mm분","Technical: Must be a valid java.text.DateFormat format.; "
FullDayDateMonthYearTZFmt,"yyyy년 M월 d일, (E) a h시mm분, zzzz","Technical: Must be a valid java.text.DateFormat format.; "
HoursMinutesSecondsFmt,"h시mm분ss초","Technical: Must be a valid java.text.DateFormat format.; "
DayOfWeekFmt,"EEE","Technical: Must be a valid java.text.DateFormat format.; "
FormatsSeparator,";","separator character for date format pattern lists; "
SystemFormats,"yyyy년M월d일;yy년M월d일;yyyy년M월d일(E);yy년M월d일(E);yyyy/M/d;yy/M/d;yyyy M d;yy m d","list of date formats to try when parsing any date string; "
UserFormats,"yyyy년M월d일(E);yy년M월d일(E);yyyy/M/d;yy/M/d","list of date formats to try when parsing user date strings; "
ReportingDateFmt,"yyyy년M월d일","Date format for reporting."
HourMinuteSecond,"hh시mm분ss초","Technical: Must be a valid java.text.DateFormat format.; "
HourMinuteAMPM,"a h시mm분","e.g. 12:08 PM Technical: Must be a valid java.text.DateFormat format.; "
DayOfWeekStart,"0","Sunday:0 Monday:1 e.g.; "
CalendarHeaderFmt,"yyyy년 M월","Header of calender shown in Date Chooser.; "
