Cp1252,
, This file is a mapping of all of the categories to their descriptions

action, "Rastreando ações e condições"
adapter, "Adaptadores externos"
adaptersql, "Demonstrativos SQL do adaptador externo"
admin, "Mensagens relacionadas ao Ariba Buyer Administrator"
adminLow, "Mensagens de nível avançado relacionadas ao Ariba Buyer Administrator"
adminui, "Mensagens relacionadas à administração de catálogos"
all, "Todas as categorias de mensagens"
allocIds, "Alocações de códigos do servidor"
analysisMaster, "Analysis - Principal"
analysisMaster.analysis, "Analysis - Diversos"
analysisMaster.analysisAdmin, "Mensagens relacionadas ao Ariba Analysis Administrator"
analysisMaster.analysisDataLoad, "Carregamento de dados do Analysis"
analysisMaster.analysisLoadDetails, "Registro detalhado do carregamento de dados do Analysis"
analysisMaster.analysisQuery, "Operações de consulta do Analysis"
analysisMaster.analysisMDCache, "Cache do Analysis"
analysisMaster.analysisRecentUserChoice, "Rastreando informações sobre a recente escolha do usuário"
analysisMaster.analysisOlap, "OLAP do Analysis"
analysisMaster.analysisBackground, "Relatórios de segundo plano do Analysis"
analysisMaster.loadfile, "Arquivos de carregamento do Analysis"
analysisMigration,"Migração do Analysis"
appInfoExtension, "Mensagens relacionadas às extensões appInfo, relevantes apenas em serviços compartilhados"
appIntegrate, "utilitários de integração de aplicativos cruzados"
application, "Informações relacionadas ao aplicativo"
application.chargeLoading, "Informações de carregamento de débito cXML"
application.charge, "Informações relacionadas a débito"
application.customApprover, "Mensagens relacionadas ao código do cliente gravado para fazer aprovações externas especiais"
application.cxml.aribaNetworkException, "Erros gerais de rede do Ariba"
application.cxml.cxmlOcAsn, "Rastreando a lógica comum da confirmação do pedido e o processo de aviso antecipado de entrega"
application.cxml.punchout, "Informações de PunchOut cXML"
application.grid, "Mensagens relacionadas às atividades de grade e célula nas condições de preço dos contratos"
application.orgPartition, "Mensagens relacionadas ao particionamento da organização"
application.paymentTerms, "Rastreando informações sobre condições de pagamento"
application.pricing, "Rastreando condições de preço"
application.procurement, "Rastreando informações de compras"
application.procurement.advancedShipNotice, "Rastreando o processo de aviso antecipado de entrega"
application.procurement.categoryProcurement, "Rastreando a funcionalidade relacionada às compras da categoria"
application.procurement.categoryProcurement.categoryDefinitionPropertyAccess, "Rastreando a visibilidade e a possibilidade de edição das propriedades de definição de categoria"
application.procurement.categoryProcurement.categoryDefinitionPropertyCompliance, "Rastreando a concordância dos valores de propriedade da definição de categoria"
application.procurement.categoryProcurement.categoryDefinitionPropertyUpdate, "Rastreando a atualização dos valores de propriedade da definição de categoria"
application.procurement.aggregation, "Rastreamento relacionado à agregação"
application.procurement.budget, "Rastreamento relacionado ao orçamento"
application.procurement.content, "Rastreamento relacionado ao conteúdo"
application.procurement.contract, "Rastreamento relacionado ao contrato"
application.procurement.contract.contractPricing, "Rastreando informações sobre determinação de preço do contrato"
application.procurement.contract.sla, "Rastreando informações sobre o acordo de nível de serviço do contrato"
application.procurement.electronicOrder, "Processamento eletrônico de pedidos"
application.procurement.excelImport, "Informações de importação do Excel"
application.procurement.accrual, "Processamento dos acumuladores de ônus e acréscimos"
application.procurement.accrualMigrate, "Tarefa de migração associada ao reconhecimento de despesas e receitas"
application.procurement.itemMaster, "Funcionalidade do item mestre"
application.procurement.orderConfirmation, "Rastreando o processo de confirmação do pedido"
application.procurement.ordering, "Rastreando o andamento das ordens de formatação e transmissão"
application.procurement.payment, "Rastreando atividades de pagamento de faturas"
application.procurement.receiving, "Rastreando informações sobre recebimento"
application.procurement.receiving.detail, "Rastreando informações mais detalhadas sobre recebimento"
application.procurement.requisitioning, "Rastreando as informações sobre a requisição"
application.procurement.service, "Rastreando a funcionalidade relacionada ao serviço"
application.procurement.service.servicePropertyAccess, "Rastreando a visibilidade e a possibilidade de edição das propriedades de serviço"
application.procurement.service.servicePropertyCompliance, "Rastreando a concordância dos valores da propriedade de serviço"
application.procurement.service.servicePropertyUpdate, "Rastreando a atualização dos valores da propriedade de serviço"
application.procurement.sourcing, "Rastreando informações sobre solicitação de provisão"
application.procurement.subscriptionTracker, "Rastreamento relacionado ao SubscriptionTracker"
application.procurement.repair, "Informações de rastreamento relacionadas à remoção ou correção de dados"
application.reconciliation, "Rastreando a geração de faturas e as exceções de reconciliação"
application.reconciliation.invoicing, "Rastreando informações sobre faturamento"
application.reconciliation.invoicing.invoiceLoading, "Rastreando informações sobre carregamento da fatura"
invoiceDiagnostics, "Rastreando informações sobre depuração do faturamento"
application.reconciliation.irEditability, "Rastreando validação e possibilidade de edição dos documentos de reconciliação da fatura"
application.reconciliation.pcard, "Rastreando o processamento do cartão de compras e o carregamento de débitos"
application.report, "Rastreando as informações sobre o relatório"
application.search, "Rastreando informações de pesquisa"
application.supplierSync, "Informações relacionadas à sincr. do fornecedor"
application.tax, "Rastreando cálculo de imposto e operação"
approvable, "Ações nas aprovações pendentes"
approvalFlow, "Rastreando informações de fluxo de aprovação"
aql, "Rastreando informações AQL"
aql.query, "Operações de consulta"
aql2capi, "Atribuindo AQL a CAPI"
aqlperf, "Informações sobre desempenho AQL"
aribaISServer, "Mensagens enviadas ao servidor Ariba"
aribaMappingException, "Erros relacionados à atribuição de PunchOut e catálogo"
aribaNetwork, "Comunicação em rede Ariba (nível simples)"
aribaNetworkLow, "Comunicação em rede Ariba (nível avançado)"
aribaweb, "Sessão da Web e http Ariba relacionada"
aribaweb.fileupload, "informações sobre o carregamento de arquivo em nível avançado"
aribaweb.formValue, "informações sobre a fila do valor form"
aribaweb.ihr, "informações sobre o rh do aribaweb"
aribaweb.session, "informações sobre a sessão do aribaweb"
aribawebdomsync, "informações gerais sobre o processamento de dom do aribaweb"
aribawebdomsync.element, "informações sobre o processamento do elemento dom do aribaweb"
aribaweb_request, "Registra informações básicas de solicitação (URI da solicitação, parâmetros de consulta, valores de formulário, cookies)"
aribaweb_html, "Rastreando saída de origem HTML"
aribaweb_errorManager, "Rastreando gerenciador de erro"
asmMaster,"Dados mestre do ASM"
asmMaster.punchout,"PunchOut do ASM"
asmMaster.asm,"ASM"
asmMaster.loaderDetails, "Detalhes do carregador do ASM"
asmMaster.discovery, "Rastreamento do Ariba Discovery"
audit, "Atividade do usuário de administração de auditoria que altera o sistema"
auth, "Solicitações de autenticação"
autoCalc, "Rastreamento de cálculos automáticos nos campos Força de trabalho"
awf, "Geração de HTML e trabalho interno da estrutura da Web do Ariba"
axDecodingInfo, "Informações gerais sobre decodificação XML"
axDecodingProtocolTrace, "Rastreamento de protocolo AXDecoding de decodificação XML"
axDecodingTrace, "Rastreamento de decodificação XML"
back, "Mensagens para controle de página interna"
backplane.pq, "Mensagens relacionadas à fila persistente"
backplane.memcached, "Mensagens de RPC cliente da fila persistente"
bagdump, "Descarregar cada item do catálogo transformado durante a importação"
bagmetrics, "Depurar métricas de gerenciamento inválido do catálogo (catalogitem)"
base, "Registro geral para o componente base"
bindings, "Mensagens para controle de conjuntos de páginas HTML"
checkpoint, "Registrar mensagens de vários pontos de verificação usados para a sincronização de vários nós"
checkpoint.amf.base, "Registrar mensagens de pontos de verificação do componente de mensagem"
checkpoint.base, "Registrar mensagens de pontos de verificação do componente de base"
cXML, "Mensagens do canal cXML"
cXML.channel, "Mensagens do canal cXML"
cXML.configuration, "Mensagens de configuração do canal cXML"
cXML.detail, "Mensagens de detalhes XML do canal cXML"
cXML.document, "Mensagens de tráfego XML do canal cXML"
cXML.document.failed, "Canal cXML com falhas em mensagens de tráfego XML"
cXML.encoding, "Mensagens de codificação do canal cXML"
cXML.encodingParse, "Mensagens de estado de codificação do canal cXML"
cXML.transport, "Mensagens relacionadas ao transporte de rede do canal cXML"
cXML.soap, "Mensagens de transporte SOAP para o canal cXML"
cXML.reliableDeliveryService, "Mensagens específicas do serviço de entrega confiável do canal cXML"
cache, "Mensagens diversas do cache de objeto"
catalogpublish, "informações de publicação do catálogo"
catalog, "Informações gerais sobre o catálogo"
catalog.type, "Rastreando o gerenciamento de tipos de catálogos"
catalogdeprecated, "Categoria mestre das categorias de registro do catálogo obsoleto"
catalogdeprecated.catalogCache, "Obsoleto - Ações de cache do catálogo"
catalogdeprecated.catalogSearch, "Obsoleto - Informações sobre pesquisa do catálogo em nível simples"
catalogdistributedquery, "Rastreando consulta distribuída de catálogo"
cataloglow, "Rastreamento do catálogo em nível avançado"
catalogmetrics, "Registrar pesquisa do catálogo e carregar métricas orientadas"
catimages, "Registrar imagens do catálogo"
catalogExtract, "Registrar processo de extração do catálogo"
catremote, "Rastreando o nó do catálogo à comunicação de nó"
ccm, "Gerenciador central de conexões (para conexões de bancos de dados)"
cgi, "Mensagens de depuração de acesso CGI"
channelIO, "Mensagens do utilitário de E/S do canal"
channelTibcoMaster, "Todas as mensagens do canal Tibco"
channelui, "Todas as mensagens relacionadas à interface de usuário de administração"
channelutil, "Mensagens do utilitário canal cXML"
choosers, "Todos os selecionadores e mensagens do controlador de campo relacionadas"
clientQuery, "Rastreando consultas do cliente"
clusterGets, "Mostrar recuperações do cluster"
clusterLocks, "Mostrar bloqueios/desbloqueios do cluster"
collaboration, "Rastreamento relacionado à colaboração"
collaborationWF, "Rastreamento relacionado ao fluxo de trabalho da colaboração"
commandline, "Registro do feedback do aplicativo da linha de comando"
comments, "Rastreando comentários para informações sobre item"
commonObjectOperations, "Qualquer operação relacionada a dados comuns"
configure, "Registro da ação que a ferramenta de configuração está executando (configuração e geração de código)"
connect, "Conexões e desconexões do cliente"
constraints, "Mensagens relativas a restrições"
controllers, "Mensagens relativas a controladores de campo"
currency, "Informações relativas a informações sobre valores monetários"
customer, "Mensagens relativas ao código do cliente"
customization,"Mensagens relativas a personalizações"
customization.ui, "Mensagens relativas à IU de personalização"
customization.user, "Mensagens relativas à personalização associada ao usuário"
cxml, "Rastreando PunchOut CXML"
cxmlbase, "Mensagens do Buyer Integration do canal cXML"
cxmlbase.lifecycle, "Mensagens do ciclo de vida de objeto do canal cXML"
cxmlbase.transaction, "Mensagens de transação do Buyer Integration do canal cXML"
cxmlinterop, "Categoria do registro geral do pacote de interoperabilidade cxml."
cxmlinteropcommandline, "Categoria do registro obsoleta/não usada"
cxmlinteropdump, "Categoria da depuração detalhada que descarrega a mensagem processada"
cxmlinterophistory, "Categoria do registro obsoleta/não usada"
cxmlinteroplow, "Categoria do registro obsoleta/não usada"
dashboard, "Mensagens do Dashboard"
data.repairer, "Registro relacionado à tarefa reparadora de dados"
dbtop, "Operações do banco de dados em nível simples"
demoshell, "Rastreando em shell de demonstração"
directAction, "Rastreamento de ações diretas"
duplicate, "Duplicação de objeto"
duplicateaml, "Duplicar propriedades AML"
editability, "Rastreando possibilidade de edição dos campos"
email, "Rastreamento de troca de e-mails"
encryptedString, "Rastreando operações de caracteres criptografados e recriptografia de dados persistentes usando um algoritmo de criptografia diferente"
enumeration, "Mensagens relacionadas à enumeração"
environment, "Mensagens sobre as configurações do sistema"
event, "Eventos de fluxo de trabalho"
eventQueue, "Rastreando fila de eventos"
expense, "Relatório de despesas"
expenseAdmin, "Administração de interface de usuário de diretrizes de despesas"
expense.tbp, "Provedor de reservas de viagens"
expense.imaging, "Criação de imagem do recibo de despesas"
expenseExport, "Exportação de dados para o Ariba mForm"
expenseMobile, "Mensagens relativas ao cliente móvel do servidor do Ariba Buyer"
expensePolicyAudit, "Trilha de auditoria para atualização dos parâmetros de critérios de despesas e de critérios de auditoria de despesas"
exprTrace, "Rastrear a avaliação de todas as expressões (incluindo expressões personalizadas)"
extracosts, "Custos adicionais"
fetch, "Solicitações do cliente por objetos ao servidor"
fieldProperties, "Mensagens relativas ao processamento de propriedades de campo"
fields, "Mensagens relativas ao processamento de formatadores de campo"
fileAccess,"Mensagens relativas ao acesso do arquivo"
fileChannelIO, "Mensagens relacionadas a E/S do canal de arquivos"
folder, "Eventos de carregamento de pastas"
form,"Rastreamento geral de mensagens relacionadas a formulários de documentos e a formulários eletrônicos"
form.eform, "Rastreamento de mensagens relacionadas a formulários eletrônicos"
general, "Mensagens gerais do registro"
graphs, "Reconstituição de objeto gráfico"
group, "Rastreando geração de exibição do grupo"
