Cp1251,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
TemplateParserPageTitle,"Ошибка синтаксического анализатора шаблона","Page title for the error message; "
TemplateParserTitle,"Ошибка синтаксического анализатора шаблона","Title for the template parser error; "
FileErrorMsg,"Синтаксический анализатор шаблона: Ошибка файла: файл шаблона не существует или не доступен для чтения.","Invalid template name encountered; "
IOErrorMsg,"Синтаксический анализатор шаблона: Ошибка ввода-вывода: ошибка чтения файла шаблона.","Error while trying to read template file; IO stands for Input / Output; "
,,
BlockoutChar,"X","default blockout character for SecureStringFormatter; Do we have to translate this ?; "
,,
,,
,,
,,
,,
ListSeparator,", ","used to delimit a series of strings when presented "
DayAbbrev,"д","abbreviation for day; "
HourAbbrev,"ч","abbreviation for hours; "
MinutesAbbrev,"мин","abbreviation for minutes; "
,,
,, keys used in formatters
,,
BooleanTrue,"Да","This is used from BooleanFormatter; "
BooleanFalse,"Нет","This is used from BooleanFormatter; "
BooleanTrueOrFalse,"Булевые поля могут принимать значения ""true"" или ""false"" (истина или ложь)","error when a boolean doesn't contain true or false string"
CannotParseBigDecimal,"Значение ""{0}"" является не допустимой","error when a big decimal cannot be parsed - 0: the big decimal string"
CannotParseDate,"Дата ""{0}"" является не допустимой","error when a date cannot be parsed - 0: the date string"
InvalidCharacterInNumber,"Неверный символ в числе","error when there is a non-numeric character in a number"
InvalidYear,"Неверный год","error when the year is invalid in a date"
NoDigitsFound,"Введите числовое значение","error when a number is required and no digits are entered"
NumberFormatError,"Числовое значение имеет неверный формат.","friendly error msg for NumberFormatException"
MaxValueExceeded,"Значение ""{0}"" больше максимально допустимого значения ""{1}"".", "Error when value is greater than allowed (integer overflow)"
MinValueExceeded,"Значение ""{0}"" меньше минимально допустимого значения ""{1}"".", "Error when value is less than allowed (integer underflow)"
WholeNumberRequiredKey,"Значение ""{0}"" должно быть целым числом.", "Error when integer value contains fractions"

