Cp1252,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
TemplateParserPageTitle,"Fel i malltolkare","Page title for the error message; "
TemplateParserTitle,"Fel i malltolkare","Title for the template parser error; "
FileErrorMsg,"Malltolkare: Filfel: mallfilen finns inte eller är oläsbar.","Invalid template name encountered; "
IOErrorMsg,"TemplateParser: I/O-fel: ett fel uppstod vid läsning av mallfilen","Error while trying to read template file; IO stands for Input / Output; "
,,
BlockoutChar,"X","default blockout character for SecureStringFormatter; Do we have to translate this ?; "
,,
,,
,,
,,
,,
ListSeparator,", ","used to delimit a series of strings when presented "
DayAbbrev,"d","abbreviation for day; "
HourAbbrev,"tim","abbreviation for hours; "
MinutesAbbrev,"min","abbreviation for minutes; "
,,
,, keys used in formatters
,,
BooleanTrue,"Ja","This is used from BooleanFormatter; "
BooleanFalse,"Nej","This is used from BooleanFormatter; "
BooleanTrueOrFalse,"Booleska värden måste vara ""sant"" eller ""falskt""","error when a boolean doesn't contain true or false string"
CannotParseBigDecimal,"""{0}"" är inte ett giltigt tal.","error when a big decimal cannot be parsed - 0: the big decimal string"
CannotParseDate,"""{0}"" är inte ett giltigt datum","error when a date cannot be parsed - 0: the date string"
InvalidCharacterInNumber,"Ogiltigt tecken i siffra","error when there is a non-numeric character in a number"
InvalidYear,"Ogiltigt år","error when the year is invalid in a date"
NoDigitsFound,"Ett numeriskt värde krävs","error when a number is required and no digits are entered"
NumberFormatError,"Det numeriska värdet har inte lämpligt format.","friendly error msg for NumberFormatException"
MaxValueExceeded,"Värdet ""{0}"" är större än det högsta tillåtna värdet ""{1}"".", "Error when value is greater than allowed (integer overflow)"
MinValueExceeded,"Värdet ""{0}"" är mindre än det minsta tillåtna värdet ""{1}"".", "Error when value is less than allowed (integer underflow)"
WholeNumberRequiredKey,"Värdet ""{0}"" måste vara ett heltal.", "Error when integer value contains fractions"

