GB2312,
, This file is a mapping of all of the categories to their descriptions

action, "跟踪操作和情形"
adapter, "外部适配器"
adaptersql, "外部适配器 SQL 语句"
admin, "与 Ariba Buyer Administrator 有关的消息"
adminLow, "与 Ariba Buyer Administrator 有关的低级消息"
adminui, "与目录管理有关的消息"
all, "所有消息类别"
allocIds, "服务器的 ID 分配"
analysisMaster, "分析主数据"
analysisMaster.analysis, "分析杂项"
analysisMaster.analysisAdmin, "与 Ariba Analysis Administrator 有关的消息"
analysisMaster.analysisDataLoad, "分析数据加载"
analysisMaster.analysisLoadDetails, "分析数据加载的详细日志"
analysisMaster.analysisQuery, "分析查询操作"
analysisMaster.analysisMDCache, "分析缓存"
analysisMaster.analysisRecentUserChoice, "跟踪最近的用户选择信息"
analysisMaster.analysisOlap, "分析 OLAP"
analysisMaster.analysisBackground, "分析背景报告"
analysisMaster.loadfile, "分析上载文件"
analysisMigration,"分析迁移"
appInfoExtension, "应用程序信息扩展的相关消息只适用于共享服务"
appIntegrate, "跨应用程序集成程序"
application, "与应用程序有关的信息"
application.chargeLoading, "cXML 费用加载信息"
application.charge, "与费用有关的信息"
application.customApprover, "与所编写的用于进行特殊外部审批的客户代码有关的消息"
application.cxml.aribaNetworkException, "常规 Ariba 网络错误"
application.cxml.cxmlOcAsn, "跟踪“订单确认”和“高级发货通知”过程的公共逻辑"
application.cxml.punchout, "cXML punchout 信息"
application.grid, "与合同的定价条款中的网格和单元格活动有关的消息"
application.orgPartition, "与组织分区有关的消息"
application.paymentTerms, "跟踪付款条件信息"
application.pricing, "跟踪定价条款"
application.procurement, "添加组跟踪采购信息"
application.procurement.advancedShipNotice, "跟踪高级发货通知过程"
application.procurement.categoryProcurement, "跟踪与类别采购有关的功能"
application.procurement.categoryProcurement.categoryDefinitionPropertyAccess, "跟踪类别定义属性的可见性和可编辑性"
application.procurement.categoryProcurement.categoryDefinitionPropertyCompliance, "跟踪类别定义属性值的遵从性"
application.procurement.categoryProcurement.categoryDefinitionPropertyUpdate, "跟踪类别定义属性值的更新"
application.procurement.aggregation, "与汇总有关的跟踪"
application.procurement.budget, "与预算有关的跟踪"
application.procurement.content, "与内容有关的跟踪"
application.procurement.contract, "与合同有关的跟踪"
application.procurement.contract.contractPricing, "跟踪合同定价信息"
application.procurement.contract.sla, "跟踪合同服务水平协议信息"
application.procurement.electronicOrder, "电子订单处理"
application.procurement.excelImport, "Excel 导入信息"
application.procurement.accrual, "保留支出和应计累计处理"
application.procurement.accrualMigrate, "应计帐相关的迁移任务"
application.procurement.itemMaster, "项目主要功能"
application.procurement.orderConfirmation, "跟踪订单确认过程"
application.procurement.ordering, "跟踪订单格式处理和传送的进度"
application.procurement.payment, "跟踪发票支付活动"
application.procurement.receiving, "跟踪接收信息"
application.procurement.receiving.detail, "跟踪详细的接收信息"
application.procurement.requisitioning, "跟踪请购单信息"
application.procurement.service, "跟踪同服务有关的功能"
application.procurement.service.servicePropertyAccess, "跟踪服务属性的可见性和可编辑性"
application.procurement.service.servicePropertyCompliance, "跟踪服务属性值的遵从性"
application.procurement.service.servicePropertyUpdate, "跟踪服务属性值的更新"
application.procurement.sourcing, "跟踪寻源信息"
application.procurement.subscriptionTracker, "与 SubscriptionTracker 有关的跟踪"
application.procurement.repair, "与清除或修复数据相关的跟踪信息"
application.reconciliation, "跟踪发票生成和核算差异"
application.reconciliation.invoicing, "跟踪发票开具信息"
application.reconciliation.invoicing.invoiceLoading, "跟踪发票加载信息"
invoiceDiagnostics, "跟踪开票调试信息"
application.reconciliation.irEditability, "跟踪发票核算文档的可编辑性和验证"
application.reconciliation.pcard, "跟踪购物卡处理和费用加载"
application.report, "跟踪报告信息"
application.search, "跟踪搜索信息"
application.supplierSync, "与供应商同步有关的信息"
application.tax, "跟踪税款计算和操作"
approvable, "对待批件的操作"
approvalFlow, "审批流程信息的跟踪"
aql, "跟踪 AQL 信息"
aql.query, "查询操作"
aql2capi, "将 AQL 映射为 CAPI"
aqlperf, "AQL 性能信息"
aribaISServer, "发送到 ariba 服务器的消息"
aribaMappingException, "与 PunchOut 和目录映射有关的错误"
aribaNetwork, "Ariba 网络通信 (高级)"
aribaNetworkLow, "Ariba 网络通信 (低级)"
aribaweb, "有关的 Ariba web 和 http 会话"
aribaweb.fileupload, "低级文件升级信息"
aribaweb.formValue, "表单值队列信息"
aribaweb.ihr, "aribaweb 人力资源信息"
aribaweb.session, "aribaweb 会话信息"
aribawebdomsync, "常规的 aribaweb 域处理信息"
aribawebdomsync.element, "aribaweb 域元素处理信息"
aribaweb_request, "记录基本的请求信息 (请求 URI、查询参数、表单值、cookie)"
aribaweb_html, "跟踪 HTML 源输出"
aribaweb_errorManager, "跟踪错误管理器"
asmMaster,"ASM 主分析"
asmMaster.punchout,"ASM PunchOut"
asmMaster.asm,"ASM"
asmMaster.loaderDetails, "ASM 加载器详细信息"
asmMaster.discovery, "Ariba Discovery 跟踪"
audit, "审计更改系统的管理用户活动"
auth, "验证请求"
autoCalc, "跟踪劳务字段的自动计算"
awf, "Ariba web 框架的 HTML 生成和内部工作原理"
axDecodingInfo, "XML 解码一般信息"
axDecodingProtocolTrace, "XML 解码 AXDecoding 协议跟踪"
axDecodingTrace, "XML 解码跟踪"
back, "上一页跟踪的消息"
backplane.pq, "持久性队列相关消息"
backplane.memcached, "持久性队列客户端 RPC 消息"
bagdump, "导入期间转储每个转换后的目录项"
bagmetrics, "目录袋管理的调试计算表 (catalogitem)"
base, "基础元件的常规日志记录"
bindings, "跟踪 HTML 页绑定所得到的消息"
checkpoint, "节点间同步检查点的日志信息"
checkpoint.amf.base, "消息传送组件检查点的日志消息"
checkpoint.base, "基本组件检查点的日志消息"
cXML, "cXML 通道消息"
cXML.channel, "cXML 通道消息"
cXML.configuration, "cXML 通道配置消息"
cXML.detail, "cXML 通道 XML 详细消息"
cXML.document, "cXML 通道 XML 通信消息"
cXML.document.failed, "cXML 通道失败 XML 通信消息"
cXML.encoding, "cXML 通道编码消息"
cXML.encodingParse, "cXML 通道编码状态消息"
cXML.transport, "与 cXML 通道网络传输有关的消息"
cXML.soap, "cXML 通道的 SOAP 传输消息"
cXML.reliableDeliveryService, "cXML 通道可靠传递服务特定消息"
cache, "对象缓存中的杂项消息"
catalogpublish, "目录发布信息"
catalog, "常规目录信息"
catalog.type, "跟踪目录类型管理"
catalogdeprecated, "已弃用的目录日志类别的主类别"
catalogdeprecated.catalogCache, "已弃用 - 目录缓存操作"
catalogdeprecated.catalogSearch, "已弃用 - 高级目录搜索信息"
catalogdistributedquery, "跟踪目录的分布查询"
cataloglow, "低级目录跟踪"
catalogmetrics, "记录目录搜索并加载所确定的计算表"
catimages, "记录目录图像"
catalogExtract, "记录目录提取进展"
catremote, "跟踪目录的节点到节点通讯"
ccm, "中央连接管理器（用于数据库连接）"
cgi, "CGI 登录调试消息"
channelIO, "通道 IO 程序消息"
channelTibcoMaster, "所有 Tibco 通道消息"
channelui, "所有管理界面相关的操作"
channelutil, "cXML 通道程序消息"
choosers, "所有选取器和相关的字段控制器消息"
clientQuery, "跟踪客户端查询"
clusterGets, "显示群机检索信息"
clusterLocks, "显示群机锁定/解除锁定"
collaboration, "与协作有关的跟踪"
collaborationWF, "与协作工作流程有关的跟踪"
commandline, "命令行应用程序反馈日志记录"
comments, "跟踪备注项目信息"
commonObjectOperations, "同所有共用数据有关的操作"
configure, "记录配置工具在做什么 (配置和代码生成)"
connect, "客户端连接和断开"
constraints, "与约束有关的消息"
controllers, "与字段控制器有关的消息"
currency, "与货币和金额有关的信息"
customer, "与客户代码有关的消息"
customization,"与自定义项有关的消息"
customization.ui, "与自定义 UI 有关的消息"
customization.user, "与用户相关的自定义项有关的消息"
cxml, "跟踪 CXML punchout"
cxmlbase, "cXML 通道 Buyer 集成消息"
