Cp1252,,,,
"RichTextArea",1,"Content that you pasted into this page contained errors. The invalid text has been removed--check your entries and resubmit.","Det indhold, som du indsatte på denne side, indeholdt fejl. Den ugyldige tekst er blevet fjernet--tjek dine indtastninger og send igen.",""
"RichTextAreaScript",a001,"Bold","Fed",""
"RichTextAreaScript",a002,"Italic","Kursiv",""
"RichTextAreaScript",a003,"Underline","Understregning",""
"RichTextAreaScript",a004,"Ordered List","Liste opstillet i rækkefølge",""
"RichTextAreaScript",a005,"Bulleted List","Liste opstillet med punkttegn",""
"RichTextAreaScript",a006,"Font Color","Font-farve",""
"RichTextAreaScript",a007,"Background Color","Baggrundsfarve",""
"RichTextAreaScript",a008,"size","størrelse",""
"RichTextAreaScript",a009,"OK","OK",""
"RichTextAreaScript",a010,"Click a color","Klik på en farve",""
"RichTextAreaScript",a011,"Sample","Prøve",""
"RichTextAreaScript",a012,"Color","Farve",""
"RichTextAreaScript",a013,"Close","Luk",""
"RichTextAreaScript",a014,"Maximize/Minimize Editor","Maksimér/minimér redigeringsværktøj",""
"RichTextAreaScript",a015,"font","skrifttype",""
"RichTextAreaScript",a016,"Arial","Arial",""
"RichTextAreaScript",a017,"Courier New","Courier New",""
"RichTextAreaScript",a018,"Georgia","Georgia",""
"RichTextAreaScript",a019,"Tahoma","Tahoma",""
"RichTextAreaScript",a020,"Times New Roman","Times New Roman",""
"RichTextAreaScript",a021,"Verdana","Verdana",""
"RichTextAreaScript",a022,"Impact","Impact",""
"RichTextAreaScript",a023,"WingDings","WingDings",""
"RichTextAreaScript",a024,"MS UI Gothic","MS UI Gothic",""
"RichTextAreaScript",a025,"Remove formatting","Fjern formatering",""
"RichTextAreaScript",a026,"Are you sure you want to remove all formatting?","Er du sikker på, at du vil fjerne formatering?",""
