Cp1252,,,,
"AWTBatchNavigationBar",1,"item","artikel",""
"AWTBatchNavigationBar",2,"items","artikler",""
"AWTBatchNavigationBar",a001,"Page","Side",""
"AWTDataTable",a002,"No items","Ingen objekter",""
"AWTOptionalColumnsPage",a001,"Show / Hide Columns","Vis/skjul kolonner",""
"AWTOptionalColumnsPage",a002,"Column Name","Kolonnenavn",""
"AWTOptionsMenuButton",a001,"Table Options Menu","Menu for tabelindstillinger",""
"AWTOptionsMenuButton",a002,"Minimize / Maximize table","Minimér/maksimér tabel",""
"AWTOptionsMenuItems",a001,"Show / Hide Columns","Vis/skjul kolonner",""
"AWTOptionsMenuItems",a002,"Outline Expansion","Angiv udvidelse",""
"AWTOptionsMenuItems",a003,"Expand All","Udvid alle",""
"AWTOptionsMenuItems",a004,"Collapse All","Minimér alle",""
"AWTOptionsMenuItems",a005,"Group by Column","Gruppér efter kolonne",""
"AWTOptionsMenuItems",a006,"Grouping Expansion","Gruppeudvidelse",""
"AWTOptionsMenuItems",a007,"Collapse All","Minimér alle",""
"AWTOptionsMenuItems",a008,"Expand All","Udvid alle",""
"AWTOptionsMenuItems",a009,"Export to Excel","Eksportér til Excel",""
"AWTOptionsMenuItems",a010,"Export all Rows","Eksportér alle rækker",""
"AWTOptionsMenuItems",a011,"Export Current Page","Eksportér aktuel side",""
"AWTOptionsMenuItems",a012,"More...","Mere...",""
"AWTOptionsMenuItems",a013,"Pivot Table Layout","Layout af pivottabel",""
"AWTOptionsMenuItems",a014,"Show Detail Rows","Vis detaljerækker",""
"AWTOptionsMenuItems",a015,"Configure Layout...","Konfigurer layout...",""
"AWTOptionsMenuItems",a016,"Expand All Detail Rows","Udvid alle detaljerækker",""
"AWTOptionsMenuItems",a017,"Collapse All Detail Rows","Minimér alle detaljerækker",""
"AWTPivotConfigurationPanel",a001,"Edit Table Layout","Rediger tabellayout",""
"AWTPivotConfigurationPanel",a002,"Column Fields","Kolonnefelter",""
"AWTPivotConfigurationPanel",a003,"Row Fields","Rækkefelter",""
"AWTPivotConfigurationPanel",a004,"Column Attributes","Kolonneattributter",""
"AWTPivotConfigurationPanel",a005,"Detail Attributes","Detaljeattributter",""
"AWTPivotConfigurationPanel",a006,"Hidden Attributes","Skjulte egenskaber",""
"AWTRowAttributeExpandoColumnRenderer",a001,"Less...","Mindre...",""
"AWTRowAttributeExpandoColumnRenderer",a002,"More...","Mere...",""
"AWTScrollTableWrapper",a001,"Retrieving data...","Henter data...",""
"AWTSortHeading",a001,"Click to reverse the sorting order for this column","Klik for at ændre sorteringsrækkefølgen for denne kolonne",""
