Cp1252,,,,
"AribaAboutBox",9,"&copy; 1996 - {0} Ariba Inc. All Rights Reserved.","&copy; 1996 - {0} Ariba Inc. Alle rettigheder forbeholdes.",""
"AribaAboutBox",a010,"'Ariba, Inc.', 'Ariba', the Ariba, Inc. logo, and 'Ariba.com' are trademarks and/or service marks of Ariba or Others. For additional information on Ariba trademarks and service marks, please see {0}www.ariba.com/legal/trademarks.cfm{/0}. Unless otherwise noted on the Site, all other trademarks, service marks, and logos used in this Site are the trademarks, service marks or logos of their respective owners.","""Ariba, Inc."", ""Ariba"", logoet Ariba, Inc. og ""Ariba.com"" er varemærker og/eller registrerede varemærker tilhørende Ariba eller andre. For at få yderligere oplysninger om Aribas varemærker og registrerede varemærker henvises til {0}www.ariba.com/legal/trademarks.cfm{/0}. Medmindre andet er bemærket på webstedet, tilhører alle andre varemærker, registrerede varemærker og logoer, der er anvendt på dette websted, deres respektive ejere.",""
"AribaBasicPageWrapper",a001,"Collapse the Navigation Panel","Minimér navigationspanelet",""
"AribaBasicPageWrapper",a002,"Expand the Navigation Panel","Udvid navigationspanelet",""
"AribaBasicPageWrapper",a005,"Home","Startside",""
"AribaBasicPageWrapper",a006,"Help","Hjælp",""
"AribaBasicPageWrapper",a007,"Logout","Log af",""
"AribaBasicPageWrapper",a008,"End delegation session","Afslut delegeringssession",""
"AribaBasicPageWrapper",a009,"Preferences","Præferencer",""
"AribaContactBox",a001,"If you need help on how to use this product, click {0}Help{/0} at the top right of any product page to access documentation and tutorials.","Hvis du har brug for hjælp til dette produkt, kan du klikke på {0}Hjælp{/0} i øverste højre hjørne på en produktside for at få adgang til dokumentation og vejledninger.",""
"AribaLoginForm",a002,"System running in non-production mode","Systemet kører i ikke-produktionstilstand",""
"AribaLoginPageWrapper",1,"Adobe Flash Player 11","Adobe Flash Player 11","Supported Plugin"
"AribaLoginPageWrapper",2,"Adobe Flash Player 10","Adobe Flash Player 10","Supported Plugin"
"AribaLoginPageWrapper",3,"Adobe Flash Player 9","Adobe Flash Player 9","Supported Plugin"
"AribaLoginPageWrapper",4,"Adobe Flash Player 8","Adobe Flash Player 8","Supported Plugin"
"AribaLoginPageWrapper",5,"Adobe Flash Player 7","Adobe Flash Player 7","Supported Plugin"
"AribaLoginPageWrapper",21,"Microsoft Internet Explorer 8","Microsoft Internet Explorer 8","Supported Browsers"
"AribaLoginPageWrapper",22,"Microsoft Internet Explorer 7","Microsoft Internet Explorer 7","Supported Browsers"
"AribaLoginPageWrapper",23,"Microsoft Internet Explorer 6","Microsoft Internet Explorer 6","Supported Browsers"
"AribaLoginPageWrapper",24,"Mozilla Firefox 3.6","Mozilla Firefox 3.6","Supported Browsers"
"AribaLoginPageWrapper",25,"Safari 4","Safari 4","Supported Browsers"
"AribaLoginPageWrapper",40,"&copy; 1996 - {0} Ariba Inc. All Rights Reserved","&copy; 1996 - {0} Ariba Inc. Alle rettigheder forbeholdes",""
"AribaLoginPageWrapper",a003,"Support","Support",""
"AribaLoginPageWrapper",a004,"Browser/Plug-in Support","Browser/plug-in-understøttelse","Link on login page"
"AribaLoginPageWrapper",a005,"Supported Browsers","Understøttede browsere","Section Heading"
"AribaLoginPageWrapper",a006,"Supported Plug-ins","Understøttede plug-ins","Section Heading"
"AribaLoginPageWrapper",a007,"Deprecation Schedule","Tidsplan for udfasning","Section Heading"
"AribaLoginPageWrapper",a008,"OK","OK",""
"AribaNotificationDialog",a001,"Notification","Meddelelse",""
"AribaShutdownWarning",1,"<p><b>Attention:</b> Routine system maintenance has occurred on this site. Your login session must be refreshed.</p><p>To refresh immediately, click <i>Refresh Session</i>. <b>Note: you will not be logged out.</b></p><p>To complete a task before refreshing, click <i>Finish Work</i>, complete your task, and then click the <i>Refresh Session</i> link on the top-right of the page.</p><p>Your session will be refreshed automatically in {0} minutes.</p>","<p><b>Obs:</b> Rutinemæssig systemvedligeholdelse har fundet sted på dette websted. Din log-på session skal opdateres.</p><p>For at opdatere øjeblikkeligt skal du klikke på <i>Opdater session</i>. <b>Bemærk: du vil ikke blive logget af.</b></p><p>For at fuldføre en opgave før opdatering skal du klikke på <i>Fuldfør arbejde</i>, fuldfør din opgave, og klik dernæst på linket <i>Opdater session</i> øverst til højre på siden.</p><p>Din session vil automatisk blive opdateret om {0} minutter.</p>",""
"AribaShutdownWarning",2,"<p><b>Attention:</b> Routine system maintenance has occurred on this site. Your login session must be refreshed.</p><p>To refresh immediately, click <i>Return to Home</i>. <b>Note: you will not be logged out.</b></p><p>To complete a task before refreshing, click <i>Finish Work</i>, complete your task, and then click the <i>Home</i> link on the top-right of the page.</p><p>Your session will be refreshed automatically in {0} minutes.</p>","<p><b>Obs:</b> Rutinemæssig systemvedligeholdelse har fundet sted på dette websted. Din log-på session skal opdateres.</p><p>For at opdatere øjeblikkeligt skal du klikke på <i>Returnér til startside</i>. <b>Bemærk: du vil ikke blive logget af.</b></p><p>For at fuldføre en opgave før opdatering skal du klikke på <i>Fuldfør arbejde</i>, fuldfør din opgave, og klik dernæst på linket <i>Startside</i> øverst til højre på siden.</p><p>Din session vil automatisk blive opdateret om {0} minutter.</p>",""
"AribaShutdownWarning",a001,"Re-authentication Request","Genidentifikationsanmodning",""
"AribaShutdownWarning",a002,"Finish Work","Fuldfør arbejde",""
"AribaShutdownWarning",a003,"Refresh Session","Opdater session",""
"AribaShutdownWarning",a004,"Return To Home","Gå tilbage til startside",""
"Chooser",1,"(none selected)","(ingen valgt)",""
"Chooser",2,"{0} more selected...","{0} flere valgt...",""
"Chooser",3,"No match found","Ingen match fundet",""
"Chooser",a001,"Search for more","Søg efter flere",""
"Chooser",a002,"Select from the list","Vælg på listen",""
"Chooser",a003,"Add another selection","Tilføj et andet valg",""
"Chooser",a004,"Remove selection","Fjern valg",""
"Chooser",a005,"Multiple selections allowed","Mange valg tilladt",""
"ChooserPanel",1,"Choose Values","Vælg værdier",""
"ChooserPanel",2,"Choose Value","Vælg værdi",""
"ChooserPanel",a002,"Search","Søg",""
"ChooserPanel",a003,"Add to Currently Selected","Tilføj til aktuelt valgte",""
"ChooserPanel",a004,"Currently Selected","Aktuelt valgte",""
"ChooserPanel",a005,"Value","Værdi",""
"ClientPanelWrapper",a001,"OK Button","OK-knap",""
"ClientPanelWrapper",a002,"OK","OK",""
"ClientPanelWrapper",a003,"Cancel Button","Knappen Annuller",""
"ClientPanelWrapper",a004,"Cancel","Annuller",""
"ClientPanelWrapper",a005,"Done Button","Knappen Udført",""
"ClientPanelWrapper",a006,"Done","Udført",""
"Confirmation",a001,"Confirm Action","Bekræft handling",""
"Confirmation",a002,"Are you sure?","Er du sikker?",""
"Confirmation",a003,"OK","OK",""
"Confirmation",a004,"Cancel","Annuller",""
"Confirmation",a005,"Cancel","Annuller",""
"DateField",1,"Enter date: %s","Indtast dato: %s","example date format"
"DateField",2,"Enter date: mm/dd/yyyy","Indtast dato: mm/dd/åååå","accessibility enabled example date format"
"DateField",3,"Date field is disabled","Datafelt er deaktiveret","accessibility enabled date field disabled message"
"DateField",a001,"Select a date from the calendar","Vælg en dato fra kalenderen",""
"DateField",a002,"Calendar is disabled","Kalender er deaktiveret",""
"ErrorFlag",a001,"Error","Fejl",""
"ErrorIndicator",a001,"Required Field","Obligatorisk felt","alt text for required field indicator"
"ErrorIndicator",a002,"Error","Fejl","alt text for form input error indicator"
"ErrorIndicator",a003,"Warning","Advarsel","alt text for form input warning indicator"
