Cp1252,,,,
"RichTextArea",1,"Content that you pasted into this page contained errors. The invalid text has been removed--check your entries and resubmit.","Der Inhalt, den Sie in diese Seite eingefügt haben, enthält Fehler. Der ungültige Text ist entfernt worden. Überprüfen Sie Ihre Einträge und reichen Sie den Text erneut ein.",""
"RichTextAreaScript",a001,"Bold","Fett",""
"RichTextAreaScript",a002,"Italic","Kursiv",""
"RichTextAreaScript",a003,"Underline","Unterstrichen",""
"RichTextAreaScript",a004,"Ordered List","Geordnete Liste",""
"RichTextAreaScript",a005,"Bulleted List","Aufzählung",""
"RichTextAreaScript",a006,"Font Color","Schriftfarbe",""
"RichTextAreaScript",a007,"Background Color","Hintergrundfarbe",""
"RichTextAreaScript",a008,"size","Schriftgröße",""
"RichTextAreaScript",a009,"OK","OK",""
"RichTextAreaScript",a010,"Click a color","Klicken Sie auf eine Farbe",""
"RichTextAreaScript",a011,"Sample","Muster",""
"RichTextAreaScript",a012,"Color","Farbe",""
"RichTextAreaScript",a013,"Close","Schließen",""
"RichTextAreaScript",a014,"Maximize/Minimize Editor","Editor maximieren/minimieren",""
"RichTextAreaScript",a015,"font","Schrift",""
"RichTextAreaScript",a016,"Arial","Arial",""
"RichTextAreaScript",a017,"Courier New","Courier New",""
"RichTextAreaScript",a018,"Georgia","Georgia",""
"RichTextAreaScript",a019,"Tahoma","Tahoma",""
"RichTextAreaScript",a020,"Times New Roman","Times New Roman",""
"RichTextAreaScript",a021,"Verdana","Verdana",""
"RichTextAreaScript",a022,"Impact","Impact",""
"RichTextAreaScript",a023,"WingDings","WingDings",""
"RichTextAreaScript",a024,"MS UI Gothic","MS UI Gothic",""
"RichTextAreaScript",a025,"Remove formatting","Formatierung entfernen",""
"RichTextAreaScript",a026,"Are you sure you want to remove all formatting?","Sind Sie sicher, dass Sie die gesamte Formatierung entfernen möchten?",""
