Cp1252,,,,
"AWTBatchNavigationBar",1,"item","Artikel",""
"AWTBatchNavigationBar",2,"items","Artikeln",""
"AWTBatchNavigationBar",a001,"Page","Seite",""
"AWTDataTable",a002,"No items","Keine Einträge",""
"AWTOptionalColumnsPage",a001,"Show / Hide Columns","Spalten anzeigen/ausblenden",""
"AWTOptionalColumnsPage",a002,"Column Name","Spaltenname",""
"AWTOptionsMenuButton",a001,"Table Options Menu","Tabellenoptionen",""
"AWTOptionsMenuButton",a002,"Minimize / Maximize table","Tabelle minimieren/maximieren",""
"AWTOptionsMenuItems",a001,"Show / Hide Columns","Spalten anzeigen/ausblenden",""
"AWTOptionsMenuItems",a002,"Outline Expansion","Erweiterung",""
"AWTOptionsMenuItems",a003,"Expand All","Alle erweitern",""
"AWTOptionsMenuItems",a004,"Collapse All","Alle reduzieren",""
"AWTOptionsMenuItems",a005,"Group by Column","Nach Spalten gruppieren",""
"AWTOptionsMenuItems",a006,"Grouping Expansion","Gruppierungserweiterung",""
"AWTOptionsMenuItems",a007,"Collapse All","Alle reduzieren",""
"AWTOptionsMenuItems",a008,"Expand All","Alle erweitern",""
"AWTOptionsMenuItems",a009,"Export to Excel","Nach Excel exportieren",""
"AWTOptionsMenuItems",a010,"Export all Rows","Alle Zeilen exportieren",""
"AWTOptionsMenuItems",a011,"Export Current Page","Aktuelle Seite exportieren",""
"AWTOptionsMenuItems",a012,"More...","Mehr...",""
"AWTOptionsMenuItems",a013,"Pivot Table Layout","Layout der Pivot-Tabelle",""
"AWTOptionsMenuItems",a014,"Show Detail Rows","Detailzeilen anzeigen",""
"AWTOptionsMenuItems",a015,"Configure Layout...","Layout konfigurieren...",""
"AWTOptionsMenuItems",a016,"Expand All Detail Rows","Alle Detailzeilen anzeigen",""
"AWTOptionsMenuItems",a017,"Collapse All Detail Rows","Alle Detailzeilen ausblenden",""
"AWTPivotConfigurationPanel",a001,"Edit Table Layout","Tabellen-Layout bearbeiten",""
"AWTPivotConfigurationPanel",a002,"Column Fields","Spaltenfelder",""
"AWTPivotConfigurationPanel",a003,"Row Fields","Zeilenfelder",""
"AWTPivotConfigurationPanel",a004,"Column Attributes","Spaltenattribute",""
"AWTPivotConfigurationPanel",a005,"Detail Attributes","Detailattribute",""
"AWTPivotConfigurationPanel",a006,"Hidden Attributes","Ausgeblendete Attribute",""
"AWTRowAttributeExpandoColumnRenderer",a001,"Less...","Weniger...",""
"AWTRowAttributeExpandoColumnRenderer",a002,"More...","Mehr...",""
"AWTScrollTableWrapper",a001,"Retrieving data...","Daten werden abgerufen...",""
"AWTSortHeading",a001,"Click to reverse the sorting order for this column","Klicken Sie hier, um die Sortierfolge dieser Spalte umzukehren.",""
