8859_1,,,,
"RichTextArea",1,"Content that you pasted into this page contained errors. The invalid text has been removed--check your entries and resubmit.","Content that you pasted into this page contained errors. The invalid text has been removed--check your entries and resubmit.",""
"RichTextAreaScript",a001,"Bold","Bold",""
"RichTextAreaScript",a002,"Italic","Italic",""
"RichTextAreaScript",a003,"Underline","Underline",""
"RichTextAreaScript",a004,"Ordered List","Ordered List",""
"RichTextAreaScript",a005,"Bulleted List","Bulleted List",""
"RichTextAreaScript",a006,"Font Color","Font Color",""
"RichTextAreaScript",a007,"Background Color","Background Color",""
"RichTextAreaScript",a008,"size","size",""
"RichTextAreaScript",a009,"OK","OK",""
"RichTextAreaScript",a010,"Click a color","Click a color",""
"RichTextAreaScript",a011,"Sample","Sample",""
"RichTextAreaScript",a012,"Color","Color",""
"RichTextAreaScript",a013,"Close","Close",""
"RichTextAreaScript",a014,"Maximize/Minimize Editor","Maximize/Minimize Editor",""
"RichTextAreaScript",a015,"font","font",""
"RichTextAreaScript",a016,"Arial","Arial",""
"RichTextAreaScript",a017,"Courier New","Courier New",""
"RichTextAreaScript",a018,"Georgia","Georgia",""
"RichTextAreaScript",a019,"Tahoma","Tahoma",""
"RichTextAreaScript",a020,"Times New Roman","Times New Roman",""
"RichTextAreaScript",a021,"Verdana","Verdana",""
"RichTextAreaScript",a022,"Impact","Impact",""
"RichTextAreaScript",a023,"WingDings","WingDings",""
"RichTextAreaScript",a024,"MS UI Gothic","MS UI Gothic",""
"RichTextAreaScript",a025,"Remove formatting","Remove formatting",""
"RichTextAreaScript",a026,"Are you sure you want to remove all formatting?","Are you sure you want to remove all formatting?",""
