8859_1,,,,
"AWTBatchNavigationBar",1,"item","item",""
"AWTBatchNavigationBar",2,"items","items",""
"AWTBatchNavigationBar",a001,"Page","Page",""
"AWTDataTable",a002,"No items","No items",""
"AWTOptionalColumnsPage",a001,"Show / Hide Columns","Show / Hide Columns",""
"AWTOptionalColumnsPage",a002,"Column Name","Column Name",""
"AWTOptionsMenuButton",a001,"Table Options Menu","Table Options Menu",""
"AWTOptionsMenuButton",a002,"Minimize / Maximize table","Minimize / Maximize table",""
"AWTOptionsMenuItems",a001,"Show / Hide Columns","Show / Hide Columns",""
"AWTOptionsMenuItems",a002,"Outline Expansion","Outline Expansion",""
"AWTOptionsMenuItems",a003,"Expand All","Expand All",""
"AWTOptionsMenuItems",a004,"Collapse All","Collapse All",""
"AWTOptionsMenuItems",a005,"Group by Column","Group by Column",""
"AWTOptionsMenuItems",a006,"Grouping Expansion","Grouping Expansion",""
"AWTOptionsMenuItems",a007,"Collapse All","Collapse All",""
"AWTOptionsMenuItems",a008,"Expand All","Expand All",""
"AWTOptionsMenuItems",a009,"Export to Excel","Export to Excel",""
"AWTOptionsMenuItems",a010,"Export all Rows","Export all Rows",""
"AWTOptionsMenuItems",a011,"Export Current Page","Export Current Page",""
"AWTOptionsMenuItems",a012,"More...","More...",""
"AWTOptionsMenuItems",a013,"Pivot Table Layout","Pivot Table Layout",""
"AWTOptionsMenuItems",a014,"Show Detail Rows","Show Detail Rows",""
"AWTOptionsMenuItems",a015,"Configure Layout...","Configure Layout...",""
"AWTOptionsMenuItems",a016,"Expand All Detail Rows","Expand All Detail Rows",""
"AWTOptionsMenuItems",a017,"Collapse All Detail Rows","Collapse All Detail Rows",""
"AWTPivotConfigurationPanel",a001,"Edit Table Layout","Edit Table Layout",""
"AWTPivotConfigurationPanel",a002,"Column Fields","Column Fields",""
"AWTPivotConfigurationPanel",a003,"Row Fields","Row Fields",""
"AWTPivotConfigurationPanel",a004,"Column Attributes","Column Attributes",""
"AWTPivotConfigurationPanel",a005,"Detail Attributes","Detail Attributes",""
"AWTPivotConfigurationPanel",a006,"Hidden Attributes","Hidden Attributes",""
"AWTRowAttributeExpandoColumnRenderer",a001,"Less...","Less...",""
"AWTRowAttributeExpandoColumnRenderer",a002,"More...","More...",""
"AWTScrollTableWrapper",a001,"Retrieving data...","Retrieving data...",""
"AWTSortHeading",a001,"Click to reverse the sorting order for this column","Click to reverse the sorting order for this column",""
