Cp1252,,,,
"RichTextArea",1,"Content that you pasted into this page contained errors. The invalid text has been removed--check your entries and resubmit.","El contenido que ha pegado en esta página contiene errores. El texto no válido se ha eliminado, compruebe sus entradas y vuelva a enviar.",""
"RichTextAreaScript",a001,"Bold","Negrita",""
"RichTextAreaScript",a002,"Italic","Cursiva",""
"RichTextAreaScript",a003,"Underline","Subrayado",""
"RichTextAreaScript",a004,"Ordered List","Lista ordenada",""
"RichTextAreaScript",a005,"Bulleted List","Lista con viñetas",""
"RichTextAreaScript",a006,"Font Color","Color de fuente",""
"RichTextAreaScript",a007,"Background Color","Color de fondo",""
"RichTextAreaScript",a008,"size","tamaño",""
"RichTextAreaScript",a009,"OK","Aceptar",""
"RichTextAreaScript",a010,"Click a color","Haga clic en un color",""
"RichTextAreaScript",a011,"Sample","Muestra",""
"RichTextAreaScript",a012,"Color","Color",""
"RichTextAreaScript",a013,"Close","Cerrar",""
"RichTextAreaScript",a014,"Maximize/Minimize Editor","Maximizar/minimizar editor",""
"RichTextAreaScript",a015,"font","fuente",""
"RichTextAreaScript",a016,"Arial","Arial",""
"RichTextAreaScript",a017,"Courier New","Courier New",""
"RichTextAreaScript",a018,"Georgia","Georgia",""
"RichTextAreaScript",a019,"Tahoma","Tahoma",""
"RichTextAreaScript",a020,"Times New Roman","Times New Roman",""
"RichTextAreaScript",a021,"Verdana","Verdana",""
"RichTextAreaScript",a022,"Impact","Impact",""
"RichTextAreaScript",a023,"WingDings","WingDings",""
"RichTextAreaScript",a024,"MS UI Gothic","MS UI Gothic",""
"RichTextAreaScript",a025,"Remove formatting","Eliminar formato",""
"RichTextAreaScript",a026,"Are you sure you want to remove all formatting?","¿Está seguro de que desea eliminar todo el formato?",""
