Cp1252,,,,
"AWTBatchNavigationBar",1,"item","artículo",""
"AWTBatchNavigationBar",2,"items","artículos",""
"AWTBatchNavigationBar",a001,"Page","Página",""
"AWTDataTable",a002,"No items","No hay artículos",""
"AWTOptionalColumnsPage",a001,"Show / Hide Columns","Mostrar/Ocultar columnas",""
"AWTOptionalColumnsPage",a002,"Column Name","Nombre de la columna",""
"AWTOptionsMenuButton",a001,"Table Options Menu","Menú Opciones de tabla",""
"AWTOptionsMenuButton",a002,"Minimize / Maximize table","Minimizar/Maximizar tabla",""
"AWTOptionsMenuItems",a001,"Show / Hide Columns","Mostrar/Ocultar columnas",""
"AWTOptionsMenuItems",a002,"Outline Expansion","Perfilar expansión",""
"AWTOptionsMenuItems",a003,"Expand All","Expandir todo",""
"AWTOptionsMenuItems",a004,"Collapse All","Contraer todo",""
"AWTOptionsMenuItems",a005,"Group by Column","Agrupar por columna",""
"AWTOptionsMenuItems",a006,"Grouping Expansion","Agrupando expansión",""
"AWTOptionsMenuItems",a007,"Collapse All","Contraer todo",""
"AWTOptionsMenuItems",a008,"Expand All","Expandir todo",""
"AWTOptionsMenuItems",a009,"Export to Excel","Exportar a Excel",""
"AWTOptionsMenuItems",a010,"Export all Rows","Exportar todas las filas",""
"AWTOptionsMenuItems",a011,"Export Current Page","Exportar la página actual",""
"AWTOptionsMenuItems",a012,"More...","Más...",""
"AWTOptionsMenuItems",a013,"Pivot Table Layout","Diseño de tabla dinámica",""
"AWTOptionsMenuItems",a014,"Show Detail Rows","Mostrar filas de detalles",""
"AWTOptionsMenuItems",a015,"Configure Layout...","Configurar diseño...",""
"AWTOptionsMenuItems",a016,"Expand All Detail Rows","Expandir filas con todos los detalles",""
"AWTOptionsMenuItems",a017,"Collapse All Detail Rows","Contraer filas con todos los detalles",""
"AWTPivotConfigurationPanel",a001,"Edit Table Layout","Editar diseño de tabla",""
"AWTPivotConfigurationPanel",a002,"Column Fields","Campos de columna",""
"AWTPivotConfigurationPanel",a003,"Row Fields","Campos de fila",""
"AWTPivotConfigurationPanel",a004,"Column Attributes","Atributos de columna",""
"AWTPivotConfigurationPanel",a005,"Detail Attributes","Atributos de detalle",""
"AWTPivotConfigurationPanel",a006,"Hidden Attributes","Atributos escondidos",""
"AWTRowAttributeExpandoColumnRenderer",a001,"Less...","Menos...",""
"AWTRowAttributeExpandoColumnRenderer",a002,"More...","Más...",""
"AWTScrollTableWrapper",a001,"Retrieving data...","Recuperando datos...",""
"AWTSortHeading",a001,"Click to reverse the sorting order for this column","Haga clic para invertir el orden de esta columna",""
