Cp1252,,,,
"AribaAboutBox",a009,"&copy; 1996 - 2011 Ariba Inc. All Rights Reserved.","&copy; 1996-2011 Ariba Inc. Reservados todos los derechos.",""
"AribaAboutBox",a010,"'Ariba, Inc.', 'Ariba', the Ariba, Inc. logo, and 'Ariba.com' are trademarks and/or service marks of Ariba or Others. For additional information on Ariba trademarks and service marks, please see {0}www.ariba.com/legal/trademarks.cfm{/0}. Unless otherwise noted on the Site, all other trademarks, service marks, and logos used in this Site are the trademarks, service marks or logos of their respective owners.","""Ariba, Inc."", ""Ariba"", el logotipo de Ariba, Inc. y ""Ariba.com"" son marcas comerciales y/o marcas de servicio de Ariba u otros. Para obtener más información sobre las marcas de servicio y las marcas comerciales de Ariba, visite {0}www.ariba.com/legal/trademarks.cfm{/0}. A menos que se indique lo contrario en este sitio, el resto de marcas comerciales, marcas de servicio y logotipos utilizados en él son marcas comerciales, marcas de servicio y logotipos de sus respectivos propietarios.",""
"AribaBasicPageWrapper",a001,"Collapse the Navigation Panel","Contraer el panel de navegación",""
"AribaBasicPageWrapper",a002,"Expand the Navigation Panel","Expandir el panel de navegación",""
"AribaBasicPageWrapper",a005,"Home","Inicio",""
"AribaBasicPageWrapper",a006,"Help","Ayuda",""
"AribaBasicPageWrapper",a007,"Logout","Cierre de sesión",""
"AribaBasicPageWrapper",a008,"End delegation session","Fin de la sesión de delegación",""
"AribaBasicPageWrapper",a009,"Preferences","Preferencias",""
"AribaContactBox",a001,"If you need help on how to use this product, click {0}Help{/0} at the top right of any product page to access documentation and tutorials.","Si necesita ayuda sobre cómo utilizar este producto, haga clic en {0}Ayuda{/0} en la esquina superior derecha de la página de cualquier producto para acceder a la documentación y los tutoriales.",""
"AribaLoginForm",a002,"System running in non-production mode","El sistema se está ejecutando en modo no productivo",""
"AribaLoginPageWrapper",a002,"&copy; 1996 &#150; 2011 Ariba Inc. All Rights Reserved","&copy; 1996-2011 Ariba Inc. Reservados todos los derechos",""
"AribaLoginPageWrapper",a003,"Support","Asistencia",""
"AribaLoginPageWrapper",a004,"To properly view this application IE 6+, Firefox 3.6+, or Safari 4+ with Adobe Flash Player 7+ is required.","Para poder visualizar esta aplicación correctamente se necesita IE 6+, Firefox 3.6+, o Safari 4+ con Adobe Flash Player 7+.",""
"AribaNotificationDialog",a001,"Notification","Notificación",""
"AribaShutdownWarning",1,"<p><b>Attention:</b> Routine system maintenance has occurred on this site. Your login session must be refreshed.</p><p>To refresh immediately, click <i>Refresh Session</i>. <b>Note: you will not be logged out.</b></p><p>To complete a task before refreshing, click <i>Finish Work</i>, complete your task, and then click the <i>Refresh Session</i> link on the top-right of the page.</p><p>Your session will be refreshed automatically in {0} minutes.</p>","<p><b>Atención:</b> se está produciendo una operación de mantenimiento de rutina en este sitio. Es necesario que actualice su inicio de sesión</p><p>Para actualizar de forma inmediata, haga clic en <i>Actualizar sesión</i>. <b>Nota: no se cerrará su sesión.</b></p><p>Para completar una tarea antes de actualizar, haga clic en <i>Finalizar trabajo</i>, complete la tarea y luego haga clic en el enlace <i>Actualizar sesión</i> en la esquina superior derecha de la página.</p><p>Su sesión se actualizará automáticamente en {0} minutos.</p>",""
"AribaShutdownWarning",2,"<p><b>Attention:</b> Routine system maintenance has occurred on this site. Your login session must be refreshed.</p><p>To refresh immediately, click <i>Return to Home</i>. <b>Note: you will not be logged out.</b></p><p>To complete a task before refreshing, click <i>Finish Work</i>, complete your task, and then click the <i>Home</i> link on the top-right of the page.</p><p>Your session will be refreshed automatically in {0} minutes.</p>","<p><b>Atención:</b> se está produciendo una operación de mantenimiento de rutina en este sitio. Es necesario que actualice su inicio de sesión</p><p>Para actualizar de forma inmediata, haga clic en <i>Volver a inicio</i>. <b>Nota: no se cerrará su sesión.</b> </p><p>Para completar una tarea antes de actualizar, haga clic en <i>Finalizar trabajo</i>, complete la tarea y luego haga clic en el enlace <i>Inicio</i> en la esquina superior derecha de la página.</p><p>Su sesión se actualizará automáticamente en {0} minutos.</p>",""
"AribaShutdownWarning",a001,"Re-authentication Request","Solicitud de reautenticación",""
"AribaShutdownWarning",a002,"Finish Work","Finalizar trabajo",""
"AribaShutdownWarning",a003,"Refresh Session","Actualizar sesión",""
"AribaShutdownWarning",a004,"Return To Home","Volver a inicio",""
"Chooser",1,"(none selected)","(nada seleccionado)",""
"Chooser",2,"{0} more selected...","{0} más seleccionados...",""
"Chooser",3,"No match found","No se ha encontrado coincidencia",""
"Chooser",a001,"Search for more","Buscar más",""
"Chooser",a002,"Select from the list","Seleccionar en la lista",""
"Chooser",a003,"Add another selection","Agregar otra selección",""
"Chooser",a004,"Remove selection","Retirar selección",""
"Chooser",a005,"Multiple selections allowed","Se permiten varias selecciones",""
"ChooserPanel",1,"Choose Values","Seleccione valores",""
"ChooserPanel",2,"Choose Value","Seleccione valor",""
"ChooserPanel",a002,"Search","Buscar",""
"ChooserPanel",a003,"Add to Currently Selected","Agregar a los seleccionados actualmente",""
"ChooserPanel",a004,"Currently Selected","Seleccionados actualmente",""
"ChooserPanel",a005,"Value","Valor",""
"ClientPanelWrapper",a001,"OK Button","Botón Aceptar",""
"ClientPanelWrapper",a002,"OK","Aceptar",""
"ClientPanelWrapper",a003,"Cancel Button","Botón Cancelar",""
"ClientPanelWrapper",a004,"Cancel","Cancelar",""
"ClientPanelWrapper",a005,"Done Button","Botón Completado",""
"ClientPanelWrapper",a006,"Done","Completado",""
"Confirmation",a001,"Confirm Action","Confirmar acción",""
"Confirmation",a002,"Are you sure?","¿Está seguro?",""
"Confirmation",a003,"OK","Aceptar",""
"Confirmation",a004,"Cancel","Cancelar",""
