Cp1252,,,,
"RichTextArea",1,"Content that you pasted into this page contained errors. The invalid text has been removed--check your entries and resubmit.","Le contenu que vous avez collé sur cette page comporte des erreurs. Le texte non valide a été supprimé. Vérifiez vos entrées, puis soumettez à nouveau.",""
"RichTextAreaScript",a001,"Bold","Gras",""
"RichTextAreaScript",a002,"Italic","Italique",""
"RichTextAreaScript",a003,"Underline","Souligné",""
"RichTextAreaScript",a004,"Ordered List","Liste numérotée",""
"RichTextAreaScript",a005,"Bulleted List","Liste à points",""
"RichTextAreaScript",a006,"Font Color","Couleur de police",""
"RichTextAreaScript",a007,"Background Color","Couleur d'arrière-plan",""
"RichTextAreaScript",a008,"size","Taille",""
"RichTextAreaScript",a009,"OK","OK",""
"RichTextAreaScript",a010,"Click a color","Cliquez sur une couleur",""
"RichTextAreaScript",a011,"Sample","Échantillon",""
"RichTextAreaScript",a012,"Color","Couleur",""
"RichTextAreaScript",a013,"Close","Fermer",""
"RichTextAreaScript",a014,"Maximize/Minimize Editor","Agrandir/Réduire l'éditeur",""
"RichTextAreaScript",a015,"font","Police",""
"RichTextAreaScript",a016,"Arial","Arial",""
"RichTextAreaScript",a017,"Courier New","Courier New",""
"RichTextAreaScript",a018,"Georgia","Georgia",""
"RichTextAreaScript",a019,"Tahoma","Tahoma",""
"RichTextAreaScript",a020,"Times New Roman","Times New Roman",""
"RichTextAreaScript",a021,"Verdana","Verdana",""
"RichTextAreaScript",a022,"Impact","Impact",""
"RichTextAreaScript",a023,"WingDings","WingDings",""
"RichTextAreaScript",a024,"MS UI Gothic","MS UI Gothic",""
"RichTextAreaScript",a025,"Remove formatting","Supprimer la mise en forme",""
"RichTextAreaScript",a026,"Are you sure you want to remove all formatting?","Êtes-vous sûr de vouloir supprimer l'ensemble de la mise en forme ?",""
