Cp1252,,,,
"AWTBatchNavigationBar",1,"item","article",""
"AWTBatchNavigationBar",2,"items","articles",""
"AWTBatchNavigationBar",a001,"Page","Page",""
"AWTDataTable",a002,"No items","Aucun article",""
"AWTOptionalColumnsPage",a001,"Show / Hide Columns","Afficher/Masquer les colonnes",""
"AWTOptionalColumnsPage",a002,"Column Name","Nom de la colonne",""
"AWTOptionsMenuButton",a001,"Table Options Menu","Menu Options du tableau",""
"AWTOptionsMenuButton",a002,"Minimize / Maximize table","Réduire/Agrandir le tableau",""
"AWTOptionsMenuItems",a001,"Show / Hide Columns","Afficher/Masquer les colonnes",""
"AWTOptionsMenuItems",a002,"Outline Expansion","Disposition",""
"AWTOptionsMenuItems",a003,"Expand All","Tout développer",""
"AWTOptionsMenuItems",a004,"Collapse All","Tout réduire",""
"AWTOptionsMenuItems",a005,"Group by Column","Grouper par colonne",""
"AWTOptionsMenuItems",a006,"Grouping Expansion","Développer le groupement",""
"AWTOptionsMenuItems",a007,"Collapse All","Tout réduire",""
"AWTOptionsMenuItems",a008,"Expand All","Tout développer",""
"AWTOptionsMenuItems",a009,"Export to Excel","Exporter vers Excel",""
"AWTOptionsMenuItems",a010,"Export all Rows","Exporter toutes les lignes",""
"AWTOptionsMenuItems",a011,"Export Current Page","Exporter la page actuelle",""
"AWTOptionsMenuItems",a012,"More...","Plus...",""
"AWTOptionsMenuItems",a013,"Pivot Table Layout","Disposition du tableau croisé dynamique",""
"AWTOptionsMenuItems",a014,"Show Detail Rows","Afficher les lignes de détail",""
"AWTOptionsMenuItems",a015,"Configure Layout...","Configurer la disposition...",""
"AWTOptionsMenuItems",a016,"Expand All Detail Rows","Développer toutes les lignes de détail",""
"AWTOptionsMenuItems",a017,"Collapse All Detail Rows","Réduire toutes les lignes de détail",""
"AWTPivotConfigurationPanel",a001,"Edit Table Layout","Modifier la disposition du tableau",""
"AWTPivotConfigurationPanel",a002,"Column Fields","Champs de colonne",""
"AWTPivotConfigurationPanel",a003,"Row Fields","Champs de ligne",""
"AWTPivotConfigurationPanel",a004,"Column Attributes","Attributs de colonne",""
"AWTPivotConfigurationPanel",a005,"Detail Attributes","Attributs de détail",""
"AWTPivotConfigurationPanel",a006,"Hidden Attributes","Attributs masqués",""
"AWTRowAttributeExpandoColumnRenderer",a001,"Less...","Moins...",""
"AWTRowAttributeExpandoColumnRenderer",a002,"More...","Plus...",""
"AWTScrollTableWrapper",a001,"Retrieving data...","Extraction des données en cours...",""
"AWTSortHeading",a001,"Click to reverse the sorting order for this column","Cliquez pour inverser l'ordre de tri de cette colonne.",""
