8859_1,,,,
"AWTBatchNavigationBar",1,"item","article",""
"AWTBatchNavigationBar",2,"items","articles",""
"AWTBatchNavigationBar",a001,"Page","Page",""
"AWTDataTable",a002,"No items","Aucun article",""
"AWTOptionsMenuButton",a001,"Table Options Menu","Menu d'options de tableau",""
"AWTOptionsMenuButton",a002,"Minimize / Maximize table","Réduit/Agrandit le tableau",""
"AWTOptionsMenuItems",a001,"Show / Hide Columns","Afficher/Masquer les colonnes",""
"AWTOptionsMenuItems",a002,"Outline Expansion","Mettre le développement en évidence",""
"AWTOptionsMenuItems",a003,"Expand All","Tout développer",""
"AWTOptionsMenuItems",a004,"Collapse All","Tout réduire",""
"AWTOptionsMenuItems",a005,"Group by Column","Regrouper par colonne",""
"AWTOptionsMenuItems",a006,"Grouping Expansion","Regroupement du développement",""
"AWTOptionsMenuItems",a007,"Collapse All","Tout réduire",""
"AWTOptionsMenuItems",a008,"Expand All","Tout développer",""
"AWTOptionsMenuItems",a009,"Export to Excel","Exporter vers Excel",""
"AWTOptionsMenuItems",a010,"Export all Rows","Exporter toutes les lignes",""
"AWTOptionsMenuItems",a011,"Export Current Page","Exporter la page courante",""
"AWTScrollTableWrapper",a001,"Retrieving data...","Extraction de données...",""
"AWTSortHeading",a001,"Push to reverse sorting order for this column","Poussez pour renverser l'ordre de tri de cette colonne",""
