8859_1,,,,
"AWLazyDiv",a001,"Loading...","Chargement...",""
"AribaAboutBox",a009,"&copy; 1996 - 2004 Ariba Inc. All Rights Reserved.","&copy; 1996 - 2004 Ariba Inc. Tous droits réservés.",""
"AribaAboutBox",a010,"'Ariba, Inc.', 'Ariba', the Ariba, Inc. logo, and 'Ariba.com' are trademarks and/or service marks of Ariba or Others. For additional information on Ariba trademarks and service marks, please see {0}www.ariba.com/trademarks.cfm{/0}. Unless otherwise noted on the Site, all other trademarks, service marks, and logos used in this Site are the trademarks, service marks or logos of their respective owners.","""Ariba, Inc."", ""Ariba"", le logo de Ariba, Inc. et ""Ariba.com"" sont des marques de commerce et/ou des marques de service de Ariba ou autres. Pour obtenir de plus amples renseignements sur les marques de commerce et de service de Ariba, veuillez consulter notre site {0}www.ariba.com/trademarks.cfm{/0}. Sauf indication contraire sur le site, toutes les autres marques de commerce et de service ainsi que les logos utilisés sur ce site sont des marques de commerce et de service et des logos appartenant à leurs propriétaires respectifs.",""
"AribaBasicPageWrapper",a001,"Collapse the Navigation Panel","Réduire le panneau de navigation",""
"AribaBasicPageWrapper",a002,"Expand the Navigation Panel","Développer le panneau de navigation",""
"AribaBasicPageWrapper",a005,"Home","Accueil",""
"AribaBasicPageWrapper",a006,"Help","Aide",""
"AribaBasicPageWrapper",a007,"Logout","Déconnexion",""
"BucketHeading",a001,"Open/Close","Ouvrir/Fermer",""
"Calendar",a020,"Previous Year","Année précédente",""
"Calendar",a021,"Next Year","Année suivante",""
"Calendar",a022,"Previous Month","Mois précédent",""
"Calendar",a023,"Previous Month","Mois précédent",""
"Calendar",a024,"Next Month","Mois suivant",""
"Calendar",a025,"Next Month","Mois suivant",""
"DateField",1,"Enter Date: %s","Entrer la date : %","example date format"
"DateField",2,"Enter Date: mm/dd/yyyy","Entrer la date: mm/jj/aaaa","accessibility enabled example date format"
"DateField",a001,"Select a date from the calendar","Sélectionne une date sur le calendrier",""
"HintMessage",a001,"* indicates required field","* indique un champ obligatoire",""
"HintMessage",a002,"How to","Comment faire",""
"HintMessage",a003,"Screen Details","Détails d'écran",""
"ModalPageWrapper",a001,"OK Button","Bouton OK",""
"ModalPageWrapper",a002,"OK","OK",""
"ModalPageWrapper",a003,"Cancel Button","Bouton Annuler",""
"ModalPageWrapper",a004,"Cancel","Annuler",""
"ModalPageWrapper",a005,"Done Button","Bouton Terminé",""
"ModalPageWrapper",a006,"Done","Terminé",""
"StepByStepTOC",1,"Step {0}","Étape {0}",""
"StepByStepTOC",2,"Non-numbered step","Étape non numérotée",""
"StepHeader",1,"Step {0}","Étape {0}",""
"StepHeader",2,"Non-numbered step","Étape non numérotée",""
"StepHeader",a001,"Substeps","Sous-étapes",""
"TableHeaderRow",1,"Sorted ascending (click to reverse)","Tri ascendant (cliquez pour inverser)",""
"TableHeaderRow",2,"Sorted descending (click to reverse)","Tri descendant (cliquez pour inverser)",""
"TableHeaderRow",a001,"Select all","Sélectionner tout",""
"TocPanel",1,"Collapse view","Réduire l'affichage",""
"TocPanel",2,"Expand view","Développer l'affichage",""
"TocPanel",a001,"View Menu","Menu Affichage",""
