Cp1252,,,,
"AribaAboutBox",9,"&copy; 1996 - {0} Ariba Inc. All Rights Reserved.","&copy; 1996 - {0} Ariba Inc. Tutti i diritti riservati.",""
"AribaAboutBox",a010,"'Ariba, Inc.', 'Ariba', the Ariba, Inc. logo, and 'Ariba.com' are trademarks and/or service marks of Ariba or Others. For additional information on Ariba trademarks and service marks, please see {0}www.ariba.com/legal/trademarks.cfm{/0}. Unless otherwise noted on the Site, all other trademarks, service marks, and logos used in this Site are the trademarks, service marks or logos of their respective owners.","""Ariba, Inc."", ""Ariba"", il logo Ariba, Inc. e ""Ariba.com"" sono marchi commerciali e/o di servizio di Ariba o altri. Per ulteriori informazioni sui marchi commerciali e di servizio di Ariba, vedere {0}www.ariba.com/legal/trademarks.cfm{/0}. Se non diversamente indicato sul sito, gli altri marchi commerciali, marchi di servizio e loghi utilizzati nel sito sono marchi commerciali, marchi di servizio o loghi dei rispettivi proprietari.",""
"AribaBasicPageWrapper",a001,"Collapse the Navigation Panel","Comprimi il pannello di navigazione",""
"AribaBasicPageWrapper",a002,"Expand the Navigation Panel","Espandi il pannello di navigazione",""
"AribaBasicPageWrapper",a005,"Home","Pagina iniziale",""
"AribaBasicPageWrapper",a006,"Help","Guida",""
"AribaBasicPageWrapper",a007,"Logout","Disconnetti",""
"AribaBasicPageWrapper",a008,"End delegation session","Fine sessione delega",""
"AribaBasicPageWrapper",a009,"Preferences","Preferenze",""
"AribaContactBox",a001,"If you need help on how to use this product, click {0}Help{/0} at the top right of any product page to access documentation and tutorials.","Per assistenza su come utilizzare questo prodotto, fare clic su {0}Guida{/0} in alto a destra in qualsiasi pagina del prodotto per accedere alla documentazione e ai corsi guida.",""
"AribaLoginForm",a002,"System running in non-production mode","Il sistema è in esecuzione in modalità diversa dalla modalità di produzione",""
"AribaLoginPageWrapper",1,"Adobe Flash Player 11","Adobe Flash Player 11","Supported Plugin"
"AribaLoginPageWrapper",2,"Adobe Flash Player 10","Adobe Flash Player 10","Supported Plugin"
"AribaLoginPageWrapper",3,"Adobe Flash Player 9","Adobe Flash Player 9","Supported Plugin"
"AribaLoginPageWrapper",4,"Adobe Flash Player 8","Adobe Flash Player 8","Supported Plugin"
"AribaLoginPageWrapper",5,"Adobe Flash Player 7","Adobe Flash Player 7","Supported Plugin"
"AribaLoginPageWrapper",11,"Q1 2014 - Microsoft Internet Explorer 6","Primo trimestre 2014: Microsoft Internet Explorer 6","Deprecation Schedule"
"AribaLoginPageWrapper",20,"Microsoft Internet Explorer 9 32-bit","Microsoft Internet Explorer 9 a 32 bit","Supported Browsers"
"AribaLoginPageWrapper",21,"Microsoft Internet Explorer 8 32-bit","Microsoft Internet Explorer 8 a 32 bit","Supported Browsers"
"AribaLoginPageWrapper",22,"Microsoft Internet Explorer 7 32-bit","Microsoft Internet Explorer 7 a 32 bit","Supported Browsers"
"AribaLoginPageWrapper",23,"Microsoft Internet Explorer 6","Microsoft Internet Explorer 6","Supported Browsers"
"AribaLoginPageWrapper",24,"Chrome 26+","Chrome 26+","Supported Browsers"
"AribaLoginPageWrapper",25,"Mozilla Firefox 17+","Mozilla Firefox 17+","Supported Browsers"
"AribaLoginPageWrapper",26,"Safari 4","Safari 4","Supported Browsers"
"AribaLoginPageWrapper",27,"Safari 5","Safari 5","Supported Browsers"
"AribaLoginPageWrapper",40,"&copy; 1996 - {0} Ariba Inc. All Rights Reserved","&copy; 1996 - {0} Ariba Inc. Tutti i diritti riservati",""
"AribaLoginPageWrapper",a003,"Support","Supporto",""
"AribaLoginPageWrapper",a004,"Browser/Plug-in Support","Supporto browser/plug-in","Link on login page"
"AribaLoginPageWrapper",a005,"Supported Browsers","Browser supportati","Section Heading"
"AribaLoginPageWrapper",a006,"Supported Plug-ins","Plug-in supportati","Section Heading"
"AribaLoginPageWrapper",a007,"Deprecation Schedule","Programma elementi obsoleti","Section Heading"
"AribaLoginPageWrapper",a008,"OK","OK",""
"AribaNotificationDialog",a001,"Notification","Notifica",""
"AribaShutdownWarning",1,"<p><b>Attention:</b> Routine system maintenance has occurred on this site. Your login session must be refreshed.</p><p>To refresh immediately, click <i>Refresh Session</i>. <b>Note: you will not be logged out.</b></p><p>To complete a task before refreshing, click <i>Finish Work</i>, complete your task, and then click the <i>Refresh Session</i> link on the top-right of the page.</p><p>Your session will be refreshed automatically in {0} minutes.</p>","<p><b>Avviso:</b> è stato eseguito un intervento di manutenzione ordinaria del sito. È necessario aggiornare la sessione di login.</p><p>Per eseguire l''aggiornamento immediatamente, fare clic su <i>Aggiorna sessione</i>. <b>Nota: non verrà eseguita la disconnessione.</b></p><p>Per completare un''attività prima dell''aggiornamento, fare clic su <i>Fine lavoro</i>, completare l''attività, quindi fare clic sul collegamento <i>Aggiorna sessione</i> in alto a destra nella pagina.</p><p>La sessione verrà automaticamente aggiornata entro {0} minuti.</p>",""
"AribaShutdownWarning",2,"<p><b>Attention:</b> Routine system maintenance has occurred on this site. Your login session must be refreshed.</p><p>To refresh immediately, click <i>Return to Home</i>. <b>Note: you will not be logged out.</b></p><p>To complete a task before refreshing, click <i>Finish Work</i>, complete your task, and then click the <i>Home</i> link on the top-right of the page.</p><p>Your session will be refreshed automatically in {0} minutes.</p>","<p><b>Avviso:</b> è stato eseguito un intervento di manutenzione ordinaria del sito. È necessario aggiornare la sessione di login.</p><p>Per eseguire l''aggiornamento immediatamente, fare clic su <i>Torna alla pagina iniziale</i>. <b>Nota: non verrà eseguita la disconnessione.</b></p><p>Per completare un''attività prima dell''aggiornamento, fare clic su <i>Fine lavoro</i>, completare l''attività, quindi fare clic sul collegamento <i>Pagina iniziale</i> in alto a destra nella pagina.</p><p>La sessione verrà automaticamente aggiornata entro {0} minuti.</p>",""
"AribaShutdownWarning",a001,"Re-authentication Request","Richiesta di nuova autenticazione",""
"AribaShutdownWarning",a002,"Finish Work","Fine lavoro",""
"AribaShutdownWarning",a003,"Refresh Session","Aggiorna sessione",""
"AribaShutdownWarning",a004,"Return To Home","Torna alla pagina iniziale",""
"Chooser",1,"(none selected)","(nessuna voce selezionata)",""
"Chooser",2,"{0} more selected...","{0} ulteriori selezioni...",""
"Chooser",3,"No match found","Nessuna corrispondenza trovata",""
"Chooser",a001,"Search for more","Cerca altre voci",""
"Chooser",a002,"Select from the list","Selezionare dall'elenco",""
"Chooser",a003,"Add another selection","Aggiungi un'altra selezione",""
"Chooser",a004,"Remove selection","Rimuovi selezione",""
"Chooser",a005,"Multiple selections allowed","Più selezioni consentite",""
"ChooserPanel",1,"Choose Values","Scegliere i valori",""
"ChooserPanel",2,"Choose Value","Scegliere il valore",""
"ChooserPanel",a002,"Search","Cerca",""
"ChooserPanel",a003,"Add to Currently Selected","Aggiungi alle voci attualmente selezionate",""
"ChooserPanel",a004,"Currently Selected","Voci attualmente selezionate",""
"ChooserPanel",a005,"Value","Valore",""
"ClientPanelWrapper",a001,"OK Button","Pulsante OK",""
"ClientPanelWrapper",a002,"OK","OK",""
"ClientPanelWrapper",a003,"Cancel Button","Pulsante Annulla",""
