Shift_JIS,,,,
"RichTextArea",1,"Content that you pasted into this page contained errors. The invalid text has been removed--check your entries and resubmit.","このページに貼り付けた内容にはエラーがあります。無効なテキストは削除されました。入力内容を確認して、再提出してください。",""
"RichTextAreaScript",a001,"Bold","太字",""
"RichTextAreaScript",a002,"Italic","斜体",""
"RichTextAreaScript",a003,"Underline","下線",""
"RichTextAreaScript",a004,"Ordered List","段落番号",""
"RichTextAreaScript",a005,"Bulleted List","箇条書き",""
"RichTextAreaScript",a006,"Font Color","フォントの色",""
"RichTextAreaScript",a007,"Background Color","背景色",""
"RichTextAreaScript",a008,"size","サイズ",""
"RichTextAreaScript",a009,"OK","OK",""
"RichTextAreaScript",a010,"Click a color","色をクリックします",""
"RichTextAreaScript",a011,"Sample","サンプル",""
"RichTextAreaScript",a012,"Color","色",""
"RichTextAreaScript",a013,"Close","閉じる",""
"RichTextAreaScript",a014,"Maximize/Minimize Editor","エディタを最大化/最小化",""
"RichTextAreaScript",a015,"font","フォント",""
"RichTextAreaScript",a016,"Arial","MS P ゴシック",""
"RichTextAreaScript",a017,"Courier New","Courier New",""
"RichTextAreaScript",a018,"Georgia","Georgia",""
"RichTextAreaScript",a019,"Tahoma","Tahoma",""
"RichTextAreaScript",a020,"Times New Roman","Times New Roman",""
"RichTextAreaScript",a021,"Verdana","Verdana",""
"RichTextAreaScript",a022,"Impact","Impact",""
"RichTextAreaScript",a023,"WingDings","WingDings",""
"RichTextAreaScript",a024,"MS UI Gothic","MS UI Gothic",""
"RichTextAreaScript",a025,"Remove formatting","書式をクリア",""
"RichTextAreaScript",a026,"Are you sure you want to remove all formatting?","すべての書式をクリアしますか?",""
