Cp1252,,,,
"AribaAboutBox",9,"&copy; 1996 - {0} Ariba Inc. All Rights Reserved.","&copy; 1996 - {0} Ariba Inc. Med enerett.",""
"AribaAboutBox",a010,"'Ariba, Inc.', 'Ariba', the Ariba, Inc. logo, and 'Ariba.com' are trademarks and/or service marks of Ariba or Others. For additional information on Ariba trademarks and service marks, please see {0}www.ariba.com/legal/trademarks.cfm{/0}. Unless otherwise noted on the Site, all other trademarks, service marks, and logos used in this Site are the trademarks, service marks or logos of their respective owners.","""Ariba, Inc."", ""Ariba"", Ariba, Inc.-logoen og ""Ariba.com"" er varemerker og/eller tjenestemerker for Ariba eller andre. Se {0}www.ariba.com/legal/trademarks.cfm{/0} for ytterligere informasjon om Aribas vare- og servicemerker. Med mindre noe annet er angitt på nettsiden tilhører alle andre varemerker, tjenestemerker og logoer som brukes på dette nettstedet, sine respektive eiere.",""
"AribaBasicPageWrapper",a001,"Collapse the Navigation Panel","Skjul navigasjonspanelet",""
"AribaBasicPageWrapper",a002,"Expand the Navigation Panel","Utvid navigasjonspanelet",""
"AribaBasicPageWrapper",a005,"Home","Hjem",""
"AribaBasicPageWrapper",a006,"Help","Hjelp",""
"AribaBasicPageWrapper",a007,"Logout","Logg av",""
"AribaBasicPageWrapper",a008,"End delegation session","Avslutt delegeringsøkt",""
"AribaBasicPageWrapper",a009,"Preferences","Innstillinger",""
"AribaContactBox",a001,"If you need help on how to use this product, click {0}Help{/0} at the top right of any product page to access documentation and tutorials.","Hvis du trenger hjelp til hvordan du bruker dette produktet, klikker du på {0}Hjelp{/0} øverst på en produktside for å få tilgang til dokumentasjon og opplæring.",""
"AribaLoginForm",a002,"System running in non-production mode","Systemet kjører i ikke-produksjonsmodus",""
"AribaLoginPageWrapper",1,"Adobe Flash Player 11","Adobe Flash Player 11","Supported Plugin"
"AribaLoginPageWrapper",2,"Adobe Flash Player 10","Adobe Flash Player 10","Supported Plugin"
"AribaLoginPageWrapper",3,"Adobe Flash Player 9","Adobe Flash Player 9","Supported Plugin"
"AribaLoginPageWrapper",4,"Adobe Flash Player 8","Adobe Flash Player 8","Supported Plugin"
"AribaLoginPageWrapper",5,"Adobe Flash Player 7","Adobe Flash Player 7","Supported Plugin"
"AribaLoginPageWrapper",21,"Microsoft Internet Explorer 8","Microsoft Internet Explorer 8","Supported Browsers"
"AribaLoginPageWrapper",22,"Microsoft Internet Explorer 7","Microsoft Internet Explorer 7","Supported Browsers"
"AribaLoginPageWrapper",23,"Microsoft Internet Explorer 6","Microsoft Internet Explorer 6","Supported Browsers"
"AribaLoginPageWrapper",24,"Mozilla Firefox 3.6","Mozilla Firefox 3.6","Supported Browsers"
"AribaLoginPageWrapper",25,"Safari 4","Safari 4","Supported Browsers"
"AribaLoginPageWrapper",40,"&copy; 1996 - {0} Ariba Inc. All Rights Reserved","&copy; 1996 - {0} Ariba Inc. Med enerett.",""
"AribaLoginPageWrapper",a003,"Support","Støtte",""
"AribaLoginPageWrapper",a004,"Browser/Plug-in Support","Støtte for nettlesere/programtillegg","Link on login page"
"AribaLoginPageWrapper",a005,"Supported Browsers","Nettlesere som støttes","Section Heading"
"AribaLoginPageWrapper",a006,"Supported Plug-ins","Programtillegg som støttes","Section Heading"
"AribaLoginPageWrapper",a007,"Deprecation Schedule","Ugyldiggjøringsplan","Section Heading"
"AribaLoginPageWrapper",a008,"OK","OK",""
"AribaNotificationDialog",a001,"Notification","Melding",""
"AribaShutdownWarning",1,"<p><b>Attention:</b> Routine system maintenance has occurred on this site. Your login session must be refreshed.</p><p>To refresh immediately, click <i>Refresh Session</i>. <b>Note: you will not be logged out.</b></p><p>To complete a task before refreshing, click <i>Finish Work</i>, complete your task, and then click the <i>Refresh Session</i> link on the top-right of the page.</p><p>Your session will be refreshed automatically in {0} minutes.</p>","<p><b>Merk:</b> Det har blitt foretatt rutinevedlikehold av systemet på dette nettstedet. Påloggingsøkten din må oppdateres.</p><p>Klikk på <i>Oppdater økt</i> for å oppdatere med en gang. <b>Merk: du vil ikke bli logget ut.</b></p><p>For å fullføre en oppgave før du oppdaterer, klikk på <i>Avslutt jobb</i>, fullfør oppgaven og klikk på koblingen <i>Oppdater økt</i> oppe til høyre på siden.</p><p>Økten vil bli automatisk oppdatert om {0} minutter.</p>",""
"AribaShutdownWarning",2,"<p><b>Attention:</b> Routine system maintenance has occurred on this site. Your login session must be refreshed.</p><p>To refresh immediately, click <i>Return to Home</i>. <b>Note: you will not be logged out.</b></p><p>To complete a task before refreshing, click <i>Finish Work</i>, complete your task, and then click the <i>Home</i> link on the top-right of the page.</p><p>Your session will be refreshed automatically in {0} minutes.</p>","<p><b>Merk:</b> Det har blitt foretatt rutinevedlikehold av systemet på dette nettstedet. Påloggingsøkten din må oppdateres.</p><p>Klikk på <i>Tilbake til Hjem</i> for å oppdatere med en gang. <b>Merk: du vil ikke bli logget ut.</b></p><p>For å fullføre en oppgave før du oppdaterer, klikk på <i>Avslutt jobb</i>, fullfør oppgaven og klikk på koblingen <i>Hjem</i> oppe til høyre på siden.</p><p>Økten vil bli automatisk oppdatert om {0} minutter.</p>",""
"AribaShutdownWarning",a001,"Re-authentication Request","Forespørsel om reautentisering",""
"AribaShutdownWarning",a002,"Finish Work","Avslutt jobb",""
"AribaShutdownWarning",a003,"Refresh Session","Oppdater økt",""
"AribaShutdownWarning",a004,"Return To Home","Tilbake til Hjem",""
"Chooser",1,"(none selected)","(ingen valgt)",""
"Chooser",2,"{0} more selected...","{0} flere valgt...",""
"Chooser",3,"No match found","Ingen treff funnet",""
"Chooser",a001,"Search for more","Søk etter flere",""
"Chooser",a002,"Select from the list","Velg fra listen",""
"Chooser",a003,"Add another selection","Legg til et annet valg",""
"Chooser",a004,"Remove selection","Fjern valg",""
"Chooser",a005,"Multiple selections allowed","Flere valg er tillatt",""
"ChooserPanel",1,"Choose Values","Velg verdier",""
"ChooserPanel",2,"Choose Value","Velg verdi",""
"ChooserPanel",a002,"Search","Søk",""
"ChooserPanel",a003,"Add to Currently Selected","Legg til i gjeldende valg",""
"ChooserPanel",a004,"Currently Selected","Gjeldende valg",""
"ChooserPanel",a005,"Value","Verdi",""
"ClientPanelWrapper",a001,"OK Button","OK-knapp",""
"ClientPanelWrapper",a002,"OK","OK",""
"ClientPanelWrapper",a003,"Cancel Button","Avbryt-knappen",""
"ClientPanelWrapper",a004,"Cancel","Avbryt",""
"ClientPanelWrapper",a005,"Done Button","Ferdig-knapp",""
"ClientPanelWrapper",a006,"Done","Ferdig",""
"Confirmation",a001,"Confirm Action","Bekreft handling",""
"Confirmation",a002,"Are you sure?","Er du sikker?",""
"Confirmation",a003,"OK","OK",""
"Confirmation",a004,"Cancel","Avbryt",""
"Confirmation",a005,"Cancel","Avbryt",""
"DateField",1,"Enter date: %s","Angi dato: %s","example date format"
"DateField",2,"Enter date: mm/dd/yyyy","Angi dato: mm.dd.åååå","accessibility enabled example date format"
"DateField",3,"Date field is disabled","Datofelt er deaktivert","accessibility enabled date field disabled message"
"DateField",a001,"Select a date from the calendar","Velg en dato fra kalenderen",""
"DateField",a002,"Calendar is disabled","Kalender er deaktivert",""
"ErrorFlag",a001,"Error","Feil",""
"ErrorIndicator",a001,"Required Field","Obligatorisk felt","alt text for required field indicator"
"ErrorIndicator",a002,"Error","Feil","alt text for form input error indicator"
"ErrorIndicator",a003,"Warning","Advarsel","alt text for form input warning indicator"
"FileBrowser",a001,"Directory Listing For","Katalogoppføring for","title followed by directory path"
"FileBrowser",a002,"Name","Navn",""
"FileBrowser",a003,"Size","Størrelse",""
"FileBrowser",a004,"Last Modified","Sist endret",""
"FileBrowser",a005,"Open","Åpne","Button to open a file or directory"
"FileBrowser",a006,"Select","Velg","Button to select a file or directory"
"FileBrowser",a007,"Up To","Opp til","Button to go to parent directory"
"FileUploadStatusBar",a001,"Uploading file...","Laster opp fil...",""
"FooterLinks",a001,"POWERED BY", "DREVET AV", "powered by Ariba text"
"HintMessage",a001,"* indicates required field","* indikerer obligatorisk felt",""
"HintMessage",a002,"How to","Slik",""
"HintMessage",a003,"Screen Details","Skjermdetaljer",""
"ModalPageWrapper",a001,"OK Button","OK-knapp",""
"ModalPageWrapper",a002,"OK","OK",""
"ModalPageWrapper",a003,"Cancel Button","Avbryt-knappen",""
"ModalPageWrapper",a004,"Cancel","Avbryt",""
"ModalPageWrapper",a005,"Done Button","Ferdig-knapp",""
"ModalPageWrapper",a006,"Done","Ferdig",""
"ModalWindowWrapper",a001,"OK","OK",""
"ModalWindowWrapper",a002,"Cancel","Avbryt",""
"OutlineBox",1,"Minimize","Minimer","Tooltip on collapse button"
"OutlineBox",2,"Maximize this view","Forstørr denne visningen","Tooltip on expand button"
"OutlineBox",a001,"Expand to view the contents of this section.","Utvid for å vise innholdet i denne seksjonen.",""
"PageErrorPanel",1,"There are {0} problems that require completion or correction in order to complete your request.", "Det er {0} problemer som må løses eller korrigeres før forespørselen kan fullføres.","plural version of the msg"
"PageErrorPanel",2,"There is {0} problem that requires completion or correction in order to complete your request.", "Det er {0} problem som må løses eller korrigeres før forespørselen kan fullføres.","singular version of the msg"
"PageErrorPanel",3,"Mouse over the red icons to learn more.  Use the <b><i>Next</i></b> and <b><i>Previous</i></b> links to step through the errors as needed.","Før markøren over de røde symbolene for mer informasjon. Bruk koblingene <b><i>Neste</i></b> og <b><i>Forrige</i></b> for å gå gjennom feilene etter behov.",""
"PageErrorPanel",4,"There are {0} warnings that require your attention.  Please try again if you want to proceed after reviewing the warnings.","Det finnes {0} advarsler som krever din oppmerksomhet. Prøv igjen hvis du vil fortsette etter å ha gått gjennom advarslene.","plural version of the msg"
"PageErrorPanel",5,"There is {0} warning that requires your attention.  Please try again if you want to proceed after reviewing the warning.","Det finnes {0} advarsel som krever din oppmerksomhet. Prøv igjen hvis du vil fortsette etter å ha gått gjennom advarslene.","singular version of the msg"
"PageErrorPanel",6,"Maximize this view","Forstørr denne visningen",""
"PageErrorPanel",7,"Minimize this view","Minimer denne visningen",""
"PageErrorPanel",a001,"Expand to see the full message.","Utvid for å se hele meldingen.",""
"PageErrorPanel",a002,"&#60; Previous","&#60; Forrige",""
"PageErrorPanel",a003,"Next &#62;","Neste &#62;",""
"PageErrorPanel",a004,"Go To Problem Location &#62;","Gå til problemlokasjon &#62;",""
"PageErrorPanel",a005,"Error","Feil",""
"PageErrorPanel",a006,"Warning","Advarsel",""
"PopupMenu",a001,"Show all menu items","Vis alle menyelementer",""
"PollDialog",a001,"Unable to reach the Ariba service.","Fikk ikke tilgang til Ariba-tjeneste.",""
"PollDialog",a002,"Please check your internet connection.","Kontroller Internett-tilkoblingen.",""
"PollDialog",a003,"Reconnecting in","Kobler til på nytt om",""
"PollDialog",a004,"seconds.","sekunder.",""
"PollDialog",a005,"Try now","Prøv nå",""
"PollDialog",a006,"OK","OK",""
"PortletWrapper",a004,"Content retrieval still in progress -- some items may be missing or out of date.","Henting av innhold pågår fremdeles -- noen elementer kan mangle eller være utdaterte.",""
"PortletWrapper",a005,"An error occurred while retrieving content -- If this problem persists, contact your administrator.","Det oppstod en feil under henting av innhold -- Kontakt administratoren hvis problemet vedvarer.",""
"PortletWrapper",a006,"Show / Hide content","Vis/skjul innhold",""
"PortletWrapper",a007,"Remove this item","Fjern dette elementet",""
"SearchPageWrapper",a001,"Search","Søk",""
"StepByStepTOC",1,"Step {0}","Trinn {0}",""
"StepByStepTOC",2,"Non-numbered step","Ikke nummerert trinn",""
"StepHeader",1,"Step {0}","Trinn {0}",""
"StepHeader",2,"Non-numbered step","Ikke nummerert trinn",""
"StepHeader",a001,"Substeps","Undertrinn",""
"TabList",a001,"Actions","Handlinger",""
"TabList",a002,"More...","Mer...",""
"TableHeaderRow",1,"Sorted ascending (click to reverse)","Sortert stigende (klikk for å reversere)",""
"TableHeaderRow",2,"Sorted descending (click to reverse)","Sortert synkende (klikk for å reversere)",""
"TableHeaderRow",a001,"Select all","Velg alle",""
"TocPanel",1,"Collapse view","Skjul visning",""
"TocPanel",2,"Expand view","Utvid visning",""
"TocPanel",a001,"View Menu","Vis meny",""
"ToggleImage",a001,"Open/Close","Åpne/lukk",""
