Cp1252,,,,
"AribaAboutBox",a009,"&copy; 1996 - 2008 Ariba Inc. All Rights Reserved.","&copy; 1996 - 2008 Ariba Inc. Alle rechten voorbehouden.",""
"AribaAboutBox",a010,"'Ariba, Inc.', 'Ariba', the Ariba, Inc. logo, and 'Ariba.com' are trademarks and/or service marks of Ariba or Others. For additional information on Ariba trademarks and service marks, please see {0}www.ariba.com/trademarks.cfm{/0}. Unless otherwise noted on the Site, all other trademarks, service marks, and logos used in this Site are the trademarks, service marks or logos of their respective owners.","""Ariba, Inc."", ""Ariba"", het logo van Ariba, Inc. en ""Ariba.com"" zijn handelsmerken en/of dienstmerken van Ariba of andere fabrikanten. Meer informatie over de handelsmerken en dienstmerken van Ariba kunt u vinden op {0}www.ariba.com/trademarks.cfm{/0}. Alle andere handelsmerken, dienstmerken en logo''s die op deze site worden gebruikt, zijn de handelsmerken, dienstmerken en logo''s van de respectieve eigenaren.",""
"AribaBasicPageWrapper",a001,"Collapse the Navigation Panel","Het Navigatievenster inklappen",""
"AribaBasicPageWrapper",a002,"Expand the Navigation Panel","Het Navigatievenster uitvouwen",""
"AribaBasicPageWrapper",a005,"Home","Introductiepagina",""
"AribaBasicPageWrapper",a006,"Help","Help",""
"AribaBasicPageWrapper",a007,"Logout","Afmelden",""
"AribaBasicPageWrapper",a008,"End delegation session","Machtigingsessie beëindigen",""
"AribaBasicPageWrapper",a009,"Preferences","Voorkeuren",""
"AribaContactBox",a001,"If you need help on how to use this product, click {0}Help{/0} at the top right of any product page to access documentation and tutorials.","Als u hulp nodig hebt bij het gebruiken van dit product, klik dan op de knop {0}Help{/0} die u rechtsbovenaan elke productpagina vindt en waarmee u toegang krijgt tot documentatie en tutorials.",""
"AribaLoginForm",a002,"System running in non-production mode","Systeem wordt uitgevoerd in niet-productiemodus",""
"AribaLoginPageWrapper",a002,"&copy; 1996 &#150; 2008 Ariba Inc. All Rights Reserved","&copy; 1996 - 2008 Ariba Inc. Alle rechten voorbehouden.",""
"AribaLoginPageWrapper",a003,"Support","Support",""
"AribaLoginPageWrapper",a004,"To properly view this application IE 6, IE 7, Firefox 3+, or Safari 3.2+ with Adobe Flash Player 7+ is required.","Om deze applicatie goed te kunnen bekijken hebt u IE 6, IE 7, Firefox 3+ of Safari 3.2+ met Adobe Flash Player 7+ nodig.",""
"AribaNotificationDialog",a001,"Notification","Melding",""
"AribaShutdownWarning",1,"<p><b>Attention:</b> Routine system maintenance has occurred on this site. Your login session must be refreshed.</p><p>To refresh immediately, click <i>Refresh Session</i>. <b>Note: you will not be logged out.</b></p><p>To complete a task before refreshing, click <i>Finish Work</i>, complete your task, and then click the <i>Refresh Session</i> link on the top-right of the page.</p><p>Your session will be refreshed automatically in {0} minutes.</p>","<p><b>Attentie:</b> er heeft gepland systeemonderhoud plaatsgevonden aan deze site. U aanmeldsessie moet worden vernieuwd</p><p>Om onmiddellijk te vernieuwen, klikt u op <i>Sessie vernieuwen</i>. <b>Opmerking: u wordt niet afgemeld.</b></p><p>Om een taak te voltooien voordat u vernieuwt, klikt u op <i>Werk afmaken</i>, voltooit u uw taak en klikt u vervolgens op de koppeling <i>Sessie vernieuwen</i> rechtsbovenaan de pagina.</p><p>Uw sessie wordt automatisch vernieuwd over {0} minuten.</p>",""
"AribaShutdownWarning",2,"<p><b>Attention:</b> Routine system maintenance has occurred on this site. Your login session must be refreshed.</p><p>To refresh immediately, click <i>Return to Home</i>. <b>Note: you will not be logged out.</b></p><p>To complete a task before refreshing, click <i>Finish Work</i>, complete your task, and then click the <i>Home</i> link on the top-right of the page.</p><p>Your session will be refreshed automatically in {0} minutes.</p>","<p><b>Attentie:</b> er heeft gepland systeemonderhoud plaatsgevonden aan deze site. U aanmeldsessie moet worden vernieuwd</p><p>Om onmiddellijk te vernieuwen, klikt u op <i>Terug naar Home</i>. <b>Opmerking: u wordt niet afgemeld.</b></p><p>Om een taak te voltooien voordat u vernieuwt, klikt u op <i>Werk afmaken</i>, voltooit u uw taak en klikt u vervolgens op de koppeling <i>Home</i> rechtsbovenaan de pagina.</p><p>Uw sessie wordt automatisch vernieuwd over {0} minuten.</p>",""
"AribaShutdownWarning",a001,"Re-authentication Request","Verzoek voor hernieuwde verificatie",""
"AribaShutdownWarning",a002,"Finish Work","Werk voltooien",""
"AribaShutdownWarning",a003,"Refresh Session","Sessie vernieuwen",""
"AribaShutdownWarning",a004,"Return To Home","Terug naar Home",""
"Chooser",1,"(none selected)","(geen geselecteerd)",""
"Chooser",2,"{0} more selected...","{0} meer geselecteerd...",""
"Chooser",3,"No match found","Geen resultaat gevonden",""
"Chooser",a001,"Search for more","Zoeken naar meer",""
"Chooser",a002,"Select from the list","Selecteer uit de lijst",""
"Chooser",a003,"Add another selection","Nog een selectie toevoegen",""
"Chooser",a004,"Remove selection","Selectie verwijderen",""
"Chooser",a005,"Multiple selections allowed","Meerdere selecties toegestaan",""
"ChooserPanel",1,"Choose Values","Waarden kiezen",""
"ChooserPanel",2,"Choose Value","Waarde kiezen",""
"ChooserPanel",a002,"Search","Zoeken",""
"ChooserPanel",a003,"Add to Currently Selected","Toevoegen aan Momenteel geselecteerd",""
"ChooserPanel",a004,"Currently Selected","Momenteel geselecteerd",""
"ChooserPanel",a005,"Value","Waarde",""
"ClientPanelWrapper",a001,"OK Button","OK-knop",""
"ClientPanelWrapper",a002,"OK","OK",""
"ClientPanelWrapper",a003,"Cancel Button","Annuleren-knop",""
"ClientPanelWrapper",a004,"Cancel","Annuleren",""
"ClientPanelWrapper",a005,"Done Button","Klaar-knop",""
"ClientPanelWrapper",a006,"Done","Klaar",""
"Confirmation",a001,"Confirm Action","Actie bevestigen",""
"Confirmation",a002,"Are you sure?","Weet u het zeker?",""
"Confirmation",a003,"OK","OK",""
"Confirmation",a004,"Cancel","Annuleren",""
"Confirmation",a005,"Cancel","Annuleren",""
"DateField",1,"Enter date: %s","Datum invoeren: %s","example date format"
"DateField",2,"Enter date: mm/dd/yyyy","Datum invoeren: mm/dd/jjjj","accessibility enabled example date format"
"DateField",3,"Date field is disabled","Datumveld staat uitgeschakeld","accessibility enabled date field disabled message"
"DateField",a001,"Select a date from the calendar","Selecteer een datum op de kalender",""
"DateField",a002,"Calendar is disabled","Kalender staat uitgeschakeld",""
"ErrorFlag",a001,"Error","Fout",""
"ErrorIndicator",a001,"Required Field","Verplicht veld","alt text for required field indicator"
"ErrorIndicator",a002,"Error","Fout","alt text for form input error indicator"
"ErrorIndicator",a003,"Warning","Waarschuwing","alt text for form input warning indicator"
"FileBrowser",a001,"Directory Listing For","Directorylijst voor","title followed by directory path"
"FileBrowser",a002,"Name","Naam",""
"FileBrowser",a003,"Size","Grootte",""
"FileBrowser",a004,"Last Modified","Laatst gewijzigd",""
"FileBrowser",a005,"Open","Openen","Button to open a file or directory"
"FileBrowser",a006,"Select","Selecteren","Button to select a file or directory"
