Cp1252,,,,
"AWTBatchNavigationBar",1,"item","element",""
"AWTBatchNavigationBar",2,"items","elementer",""
"AWTBatchNavigationBar",a001,"Page","Side",""
"AWTDataTable",a002,"No items","Ingen elementer",""
"AWTOptionalColumnsPage",a001,"Show / Hide Columns","Vis/skjul kolonner",""
"AWTOptionalColumnsPage",a002,"Column Name","Kolonnenavn",""
"AWTOptionsMenuButton",a001,"Table Options Menu","Meny med tabellalternativer",""
"AWTOptionsMenuButton",a002,"Minimize / Maximize table","Minimer/maksimer tabell",""
"AWTOptionsMenuItems",a001,"Show / Hide Columns","Vis/skjul kolonner",""
"AWTOptionsMenuItems",a002,"Outline Expansion","Disposisjonsutvidelse",""
"AWTOptionsMenuItems",a003,"Expand All","Utvid alle",""
"AWTOptionsMenuItems",a004,"Collapse All","Skjul alle",""
"AWTOptionsMenuItems",a005,"Group by Column","Grupper etter kolonne",""
"AWTOptionsMenuItems",a006,"Grouping Expansion","Grupperingsutvidelse",""
"AWTOptionsMenuItems",a007,"Collapse All","Skjul alle",""
"AWTOptionsMenuItems",a008,"Expand All","Utvid alle",""
"AWTOptionsMenuItems",a009,"Export to Excel","Eksporter til Excel",""
"AWTOptionsMenuItems",a010,"Export all Rows","Eksporter alle rader",""
"AWTOptionsMenuItems",a011,"Export Current Page","Eksporter gjeldende side",""
"AWTOptionsMenuItems",a012,"More...","Mer...",""
"AWTOptionsMenuItems",a013,"Pivot Table Layout","Pivottabell-layout",""
"AWTOptionsMenuItems",a014,"Show Detail Rows","Vis detaljerte rader",""
"AWTOptionsMenuItems",a015,"Configure Layout...","Konfigurer layout...",""
"AWTOptionsMenuItems",a016,"Expand All Detail Rows","Utvid alle detaljerte rader",""
"AWTOptionsMenuItems",a017,"Collapse All Detail Rows","Skjul alle detaljerte rader",""
"AWTPivotConfigurationPanel",a001,"Edit Table Layout","Rediger tabell-layout",""
"AWTPivotConfigurationPanel",a002,"Column Fields","Kolonnefelt",""
"AWTPivotConfigurationPanel",a003,"Row Fields","Radfelt",""
"AWTPivotConfigurationPanel",a004,"Column Attributes","Kolonneattributter",""
"AWTPivotConfigurationPanel",a005,"Detail Attributes","Detaljerte attributter",""
"AWTPivotConfigurationPanel",a006,"Hidden Attributes","Skjulte attributter",""
"AWTRowAttributeExpandoColumnRenderer",a001,"Less...","Mindre...",""
"AWTRowAttributeExpandoColumnRenderer",a002,"More...","Mer...",""
"AWTScrollTableWrapper",a001,"Retrieving data...","Henter data...",""
"AWTSortHeading",a001,"Click to reverse the sorting order for this column","Klikk for å reversere sorteringsrekkefølgen for denne kolonnen",""
