Cp1251,,,,
"RichTextArea",1,"Content that you pasted into this page contained errors. The invalid text has been removed--check your entries and resubmit.","Переданное на эту страницу содержимое содержит ошибки. Текст с ошибками удален. Проверьте записи и повторите операцию еще раз.",""
"RichTextAreaScript",a001,"Bold","Жирный",""
"RichTextAreaScript",a002,"Italic","Курсив",""
"RichTextAreaScript",a003,"Underline","Подчеркнутый",""
"RichTextAreaScript",a004,"Ordered List","Упорядоченный список",""
"RichTextAreaScript",a005,"Bulleted List","Маркированный список",""
"RichTextAreaScript",a006,"Font Color","Цвет шрифта",""
"RichTextAreaScript",a007,"Background Color","Цвет фона",""
"RichTextAreaScript",a008,"size","размер",""
"RichTextAreaScript",a009,"OK","ОК",""
"RichTextAreaScript",a010,"Click a color","Щелкните цвет",""
"RichTextAreaScript",a011,"Sample","Образец",""
"RichTextAreaScript",a012,"Color","Цвет",""
"RichTextAreaScript",a013,"Close","Закрыть",""
"RichTextAreaScript",a014,"Maximize/Minimize Editor","Развернуть/свернуть редактор",""
"RichTextAreaScript",a015,"font","шрифт",""
"RichTextAreaScript",a016,"Arial","Arial",""
"RichTextAreaScript",a017,"Courier New","Courier New",""
"RichTextAreaScript",a018,"Georgia","Georgia",""
"RichTextAreaScript",a019,"Tahoma","Tahoma",""
"RichTextAreaScript",a020,"Times New Roman","Times New Roman",""
"RichTextAreaScript",a021,"Verdana","Verdana",""
"RichTextAreaScript",a022,"Impact","Влияние",""
"RichTextAreaScript",a023,"WingDings","WingDings",""
"RichTextAreaScript",a024,"MS UI Gothic","MS UI Gothic",""
"RichTextAreaScript",a025,"Remove formatting","Удалить форматирование",""
"RichTextAreaScript",a026,"Are you sure you want to remove all formatting?","Вы действительно хотите удалите все форматирования?",""
