Cp1251,,,,
"AWTBatchNavigationBar",1,"item","элемент",""
"AWTBatchNavigationBar",2,"items","элементы",""
"AWTBatchNavigationBar",a001,"Page","Страница",""
"AWTDataTable",a002,"No items","Пусто",""
"AWTOptionalColumnsPage",a001,"Show / Hide Columns","Показать/скрыть столбцы",""
"AWTOptionalColumnsPage",a002,"Column Name","Имя столбца",""
"AWTOptionsMenuButton",a001,"Table Options Menu","Меню параметров таблицы",""
"AWTOptionsMenuButton",a002,"Minimize / Maximize table","Свернуть/развернуть таблицу",""
"AWTOptionsMenuItems",a001,"Show / Hide Columns","Показать/скрыть столбцы",""
"AWTOptionsMenuItems",a002,"Outline Expansion","Расширить структуру",""
"AWTOptionsMenuItems",a003,"Expand All","Раскрыть все",""
"AWTOptionsMenuItems",a004,"Collapse All","Свернуть все",""
"AWTOptionsMenuItems",a005,"Group by Column","Сгруппировать по столбцам",""
"AWTOptionsMenuItems",a006,"Grouping Expansion","Расширить группировку",""
"AWTOptionsMenuItems",a007,"Collapse All","Свернуть все",""
"AWTOptionsMenuItems",a008,"Expand All","Раскрыть все",""
"AWTOptionsMenuItems",a009,"Export to Excel","Экспортировать в Excel",""
"AWTOptionsMenuItems",a010,"Export all Rows","Экспортировать все строки",""
"AWTOptionsMenuItems",a011,"Export Current Page","Экспортировать текущую страницу",""
"AWTOptionsMenuItems",a012,"More...","Дополнительно...",""
"AWTOptionsMenuItems",a013,"Pivot Table Layout","Расположение сводной таблицы",""
"AWTOptionsMenuItems",a014,"Show Detail Rows","Показывать строки подробностей",""
"AWTOptionsMenuItems",a015,"Configure Layout...","Настроить расположение...",""
"AWTOptionsMenuItems",a016,"Expand All Detail Rows","Раскрыть все строки подробностей",""
"AWTOptionsMenuItems",a017,"Collapse All Detail Rows","Свернуть все строки подробностей",""
"AWTPivotConfigurationPanel",a001,"Edit Table Layout","Изменить расположение таблицы",""
"AWTPivotConfigurationPanel",a002,"Column Fields","Поля столбцов",""
"AWTPivotConfigurationPanel",a003,"Row Fields","Поля строк",""
"AWTPivotConfigurationPanel",a004,"Column Attributes","Атрибуты столбца",""
"AWTPivotConfigurationPanel",a005,"Detail Attributes","Атрибуты детали",""
"AWTPivotConfigurationPanel",a006,"Hidden Attributes","Скрытые атрибуты",""
"AWTRowAttributeExpandoColumnRenderer",a001,"Less...","Меньше...",""
"AWTRowAttributeExpandoColumnRenderer",a002,"More...","Дополнительно...",""
"AWTScrollTableWrapper",a001,"Retrieving data...","Получение данных...",""
"AWTSortHeading",a001,"Click to reverse the sorting order for this column","Щелкните для изменения порядка сортировки столбца",""
