Cp1251,,,,
"AribaAboutBox",9,"&copy; 1996 - {0} Ariba Inc. All Rights Reserved.","&copy; 1996 - {0} Ariba Inc. Все права защищены.",""
"AribaAboutBox",a010,"'Ariba, Inc.', 'Ariba', the Ariba, Inc. logo, and 'Ariba.com' are trademarks and/or service marks of Ariba or Others. For additional information on Ariba trademarks and service marks, please see {0}www.ariba.com/legal/trademarks.cfm{/0}. Unless otherwise noted on the Site, all other trademarks, service marks, and logos used in this Site are the trademarks, service marks or logos of their respective owners.","""Ariba, Inc."", ""Ariba"", логотип Ariba, Inc. и ""Ariba.com"" являются товарными знаками и (или) знаками обслуживания компании Ariba или других компаний. Дополнительную информацию о товарных знаках и знаках обслуживания Ariba см. на веб-узле {0}www.ariba.com/legal/trademarks.cfm{/0}. Если не указано иное, все остальные товарные знаки, знаки обслуживания и логотипы на данном сайте являются товарными знаками, знаками обслуживания и логотипами их соответствующих владельцев.",""
"AribaBasicPageWrapper",a001,"Collapse the Navigation Panel","Свернуть панель навигации",""
"AribaBasicPageWrapper",a002,"Expand the Navigation Panel","Раскрыть панель навигации",""
"AribaBasicPageWrapper",a005,"Home","Главная",""
"AribaBasicPageWrapper",a006,"Help","Справка",""
"AribaBasicPageWrapper",a007,"Logout","Выйти",""
"AribaBasicPageWrapper",a008,"End delegation session","Завершить сеанс передачи полномочий",""
"AribaBasicPageWrapper",a009,"Preferences","Настройки",""
"AribaContactBox",a001,"If you need help on how to use this product, click {0}Help{/0} at the top right of any product page to access documentation and tutorials.","Чтобы получить справку об использовании данного продукта, щелкните {0}Справка{/0} в правом верхнем углу любой страницы. Таким образом вы получите доступ к документации и учебникам.",""
"AribaLoginForm",a002,"System running in non-production mode","Система работает в тестовом режиме",""
"AribaLoginPageWrapper",1,"Adobe Flash Player 11","Adobe Flash Player 11","Supported Plugin"
"AribaLoginPageWrapper",2,"Adobe Flash Player 10","Adobe Flash Player 10","Supported Plugin"
"AribaLoginPageWrapper",3,"Adobe Flash Player 9","Adobe Flash Player 9","Supported Plugin"
"AribaLoginPageWrapper",4,"Adobe Flash Player 8","Adobe Flash Player 8","Supported Plugin"
"AribaLoginPageWrapper",5,"Adobe Flash Player 7","Adobe Flash Player 7","Supported Plugin"
"AribaLoginPageWrapper",11,"Q1 2014 - Microsoft Internet Explorer 6","1-й квартал 2014 - Microsoft Internet Explorer 6","Deprecation Schedule"
"AribaLoginPageWrapper",20,"Microsoft Internet Explorer 9 32-bit","Microsoft Internet Explorer 9 32-разрядный","Supported Browsers"
"AribaLoginPageWrapper",21,"Microsoft Internet Explorer 8 32-bit","Microsoft Internet Explorer 8 32-разрядный","Supported Browsers"
