Cp1252,,,,
"RichTextArea",1,"Content that you pasted into this page contained errors. The invalid text has been removed--check your entries and resubmit.","Innehållet som du klistrade in på den här sidan innehåller fel. Den ogiltiga texten har tagits bort. Kontrollera dina data och skicka dem på nytt.",""
"RichTextAreaScript",a001,"Bold","Fet",""
"RichTextAreaScript",a002,"Italic","Kursiv",""
"RichTextAreaScript",a003,"Underline","Understruken",""
"RichTextAreaScript",a004,"Ordered List","Ordnad lista",""
"RichTextAreaScript",a005,"Bulleted List","Punktlista",""
"RichTextAreaScript",a006,"Font Color","Teckenfärg",""
"RichTextAreaScript",a007,"Background Color","Bakgrundsfärg",""
"RichTextAreaScript",a008,"size","storlek",""
"RichTextAreaScript",a009,"OK","OK",""
"RichTextAreaScript",a010,"Click a color","Klicka på en färg",""
"RichTextAreaScript",a011,"Sample","Hämta färg",""
"RichTextAreaScript",a012,"Color","Färg",""
"RichTextAreaScript",a013,"Close","Stäng",""
"RichTextAreaScript",a014,"Maximize/Minimize Editor","Maximera/minimera Redigerare",""
"RichTextAreaScript",a015,"font","teckensnitt",""
"RichTextAreaScript",a016,"Arial","Arial",""
"RichTextAreaScript",a017,"Courier New","Courier New",""
"RichTextAreaScript",a018,"Georgia","Georgia",""
"RichTextAreaScript",a019,"Tahoma","Tahoma",""
"RichTextAreaScript",a020,"Times New Roman","Times New Roman",""
"RichTextAreaScript",a021,"Verdana","Verdana",""
"RichTextAreaScript",a022,"Impact","Impact",""
"RichTextAreaScript",a023,"WingDings","WingDings",""
"RichTextAreaScript",a024,"MS UI Gothic","MS UI Gothic",""
"RichTextAreaScript",a025,"Remove formatting","Ta bort formatering",""
"RichTextAreaScript",a026,"Are you sure you want to remove all formatting?","Vill du ta bort all formatering?",""
