Cp1252,,,,
"AribaAboutBox",9,"&copy; 1996 - {0} Ariba Inc. All Rights Reserved.","&copy; 1996 - {0} Ariba Inc. Med ensamrätt.",""
"AribaAboutBox",a010,"'Ariba, Inc.', 'Ariba', the Ariba, Inc. logo, and 'Ariba.com' are trademarks and/or service marks of Ariba or Others. For additional information on Ariba trademarks and service marks, please see {0}www.ariba.com/legal/trademarks.cfm{/0}. Unless otherwise noted on the Site, all other trademarks, service marks, and logos used in this Site are the trademarks, service marks or logos of their respective owners.","""Ariba, Inc."", ""Ariba"", Ariba, Inc.-logotypen och ""Ariba.com"" är varumärken och/eller servicemärken som tillhör Ariba eller andra ägare. Mer information om Aribas varumärken och servicemärken finns på {0}www.ariba.com/legal/trademarks.cfm{/0}. Om inget annat anges på webbsidan tillhör alla andra varumärken, servicemärken och logotyper som visas på den här webbsidan sina respektive ägare.",""
"AribaBasicPageWrapper",a001,"Collapse the Navigation Panel","Komprimera navigationspanelen",""
"AribaBasicPageWrapper",a002,"Expand the Navigation Panel","Utöka navigationspanelen",""
"AribaBasicPageWrapper",a005,"Home","Startsida",""
"AribaBasicPageWrapper",a006,"Help","Hjälp",""
"AribaBasicPageWrapper",a007,"Logout","Logga ut",""
"AribaBasicPageWrapper",a008,"End delegation session","Avsluta delegeringssession",""
"AribaBasicPageWrapper",a009,"Preferences","Preferenser",""
"AribaContactBox",a001,"If you need help on how to use this product, click {0}Help{/0} at the top right of any product page to access documentation and tutorials.","Om du behöver hjälp med hur du använder den här produkten klickar du på {0}Hjälp{/0} längst upp till höger på valfri produktsida för att öppna dokumentation och självstudier.",""
"AribaLoginForm",a002,"System running in non-production mode","Systemet körs inte i produktionsläge",""
"AribaLoginPageWrapper",1,"Adobe Flash Player 11","Adobe Flash Player 11","Supported Plugin"
"AribaLoginPageWrapper",2,"Adobe Flash Player 10","Adobe Flash Player 10","Supported Plugin"
"AribaLoginPageWrapper",3,"Adobe Flash Player 9","Adobe Flash Player 9","Supported Plugin"
