GB2312,,,,
"RichTextArea",1,"Content that you pasted into this page contained errors. The invalid text has been removed--check your entries and resubmit.","在此页粘贴的内容包含错误。已删除无效文本 - 请检查您的输入，然后重新提交。",""
"RichTextAreaScript",a001,"Bold","粗体",""
"RichTextAreaScript",a002,"Italic","斜体",""
"RichTextAreaScript",a003,"Underline","下划线",""
"RichTextAreaScript",a004,"Ordered List","有序列表",""
"RichTextAreaScript",a005,"Bulleted List","项目符号列表",""
"RichTextAreaScript",a006,"Font Color","字体颜色",""
"RichTextAreaScript",a007,"Background Color","背景颜色",""
"RichTextAreaScript",a008,"size","字号",""
"RichTextAreaScript",a009,"OK","确定",""
"RichTextAreaScript",a010,"Click a color","单击一种颜色",""
"RichTextAreaScript",a011,"Sample","示例",""
"RichTextAreaScript",a012,"Color","颜色",""
"RichTextAreaScript",a013,"Close","关闭",""
"RichTextAreaScript",a014,"Maximize/Minimize Editor","最大小/最小化编辑器",""
"RichTextAreaScript",a015,"font","字体",""
"RichTextAreaScript",a016,"Arial","Arial",""
"RichTextAreaScript",a017,"Courier New","Courier New",""
"RichTextAreaScript",a018,"Georgia","Georgia",""
"RichTextAreaScript",a019,"Tahoma","Tahoma",""
"RichTextAreaScript",a020,"Times New Roman","Times New Roman",""
"RichTextAreaScript",a021,"Verdana","Verdana",""
"RichTextAreaScript",a022,"Impact","Impact",""
"RichTextAreaScript",a023,"WingDings","WingDings",""
"RichTextAreaScript",a024,"MS UI Gothic","MS UI Gothic",""
"RichTextAreaScript",a025,"Remove formatting","删除格式",""
"RichTextAreaScript",a026,"Are you sure you want to remove all formatting?","是否确实要删除所有格式?",""
