GB2312,,,,
"AribaAboutBox",9,"&copy; 1996 - {0} Ariba Inc. All Rights Reserved.","&copy; 1996-{0} Ariba, Inc. 保留所有权利。",""
"AribaAboutBox",a010,"'Ariba, Inc.', 'Ariba', the Ariba, Inc. logo, and 'Ariba.com' are trademarks and/or service marks of Ariba or Others. For additional information on Ariba trademarks and service marks, please see {0}www.ariba.com/legal/trademarks.cfm{/0}. Unless otherwise noted on the Site, all other trademarks, service marks, and logos used in this Site are the trademarks, service marks or logos of their respective owners.","“Ariba, Inc.”、“Ariba”、Ariba, Inc. 徽标和“Ariba.com”是 Ariba 或其他公司的商标和/或服务标志。关于 Ariba 商标和服务标志的详细信息，请访问 {0}www.ariba.com/legal/trademarks.cfm{/0}。除非在该网站上有其他说明，本网站使用的所有其他商标、服务标志和徽标都是其各自所有者的商标、服务标志和徽标。",""
"AribaBasicPageWrapper",a001,"Collapse the Navigation Panel","折叠导航面板",""
"AribaBasicPageWrapper",a002,"Expand the Navigation Panel","展开导航面板",""
"AribaBasicPageWrapper",a005,"Home","主页",""
"AribaBasicPageWrapper",a006,"Help","帮助",""
"AribaBasicPageWrapper",a007,"Logout","注销",""
"AribaBasicPageWrapper",a008,"End delegation session","结束委派会话",""
"AribaBasicPageWrapper",a009,"Preferences","首选项",""
"AribaContactBox",a001,"If you need help on how to use this product, click {0}Help{/0} at the top right of any product page to access documentation and tutorials.","如果您需要获得有关如何使用本产品的帮助，请单击任何产品页面右上方的{0}帮助{/0}，以访问相关文档和教程。",""
"AribaLoginForm",a002,"System running in non-production mode","系统在非生产模式下运行",""
"AribaLoginPageWrapper",1,"Adobe Flash Player 11","Adobe Flash Player 11","Supported Plugin"
"AribaLoginPageWrapper",2,"Adobe Flash Player 10","Adobe Flash Player 10","Supported Plugin"
"AribaLoginPageWrapper",3,"Adobe Flash Player 9","Adobe Flash Player 9","Supported Plugin"
"AribaLoginPageWrapper",4,"Adobe Flash Player 8","Adobe Flash Player 8","Supported Plugin"
"AribaLoginPageWrapper",5,"Adobe Flash Player 7","Adobe Flash Player 7","Supported Plugin"
"AribaLoginPageWrapper",11,"Q1 2014 - Microsoft Internet Explorer 6","Q1 2014 - Microsoft Internet Explorer 6","Deprecation Schedule"
"AribaLoginPageWrapper",20,"Microsoft Internet Explorer 9 32-bit","Microsoft Internet Explorer 9（32 位）","Supported Browsers"
"AribaLoginPageWrapper",21,"Microsoft Internet Explorer 8 32-bit","Microsoft Internet Explorer 8（32 位）","Supported Browsers"
"AribaLoginPageWrapper",22,"Microsoft Internet Explorer 7 32-bit","Microsoft Internet Explorer 7（32 位）","Supported Browsers"
"AribaLoginPageWrapper",23,"Microsoft Internet Explorer 6","Microsoft Internet Explorer 6","Supported Browsers"
"AribaLoginPageWrapper",24,"Chrome 26+","Chrome 26+","Supported Browsers"
"AribaLoginPageWrapper",25,"Mozilla Firefox 17+","Mozilla Firefox 17+","Supported Browsers"
"AribaLoginPageWrapper",26,"Safari 4","Safari 4","Supported Browsers"
"AribaLoginPageWrapper",27,"Safari 5","Safari 5","Supported Browsers"
"AribaLoginPageWrapper",40,"&copy; 1996 - {0} Ariba Inc. All Rights Reserved","&copy; 1996-{0} Ariba, Inc. 保留所有权利",""
"AribaLoginPageWrapper",a003,"Support","支持",""
"AribaLoginPageWrapper",a004,"Browser/Plug-in Support","浏览器/插件支持","Link on login page"
"AribaLoginPageWrapper",a005,"Supported Browsers","支持的浏览器","Section Heading"
"AribaLoginPageWrapper",a006,"Supported Plug-ins","支持的插件","Section Heading"
"AribaLoginPageWrapper",a007,"Deprecation Schedule","折旧明细表","Section Heading"
"AribaLoginPageWrapper",a008,"OK","确定",""
"AribaNotificationDialog",a001,"Notification","通知",""
"AribaShutdownWarning",1,"<p><b>Attention:</b> Routine system maintenance has occurred on this site. Your login session must be refreshed.</p><p>To refresh immediately, click <i>Refresh Session</i>. <b>Note: you will not be logged out.</b></p><p>To complete a task before refreshing, click <i>Finish Work</i>, complete your task, and then click the <i>Refresh Session</i> link on the top-right of the page.</p><p>Your session will be refreshed automatically in {0} minutes.</p>","<p><b>注意：</b>此站点正在执行例行系统维护。您必须刷新登录会话。</p><p>要立即刷新，请单击<i>刷新会话</i>。<b>注：此操作不会使您注销</b></p><p>要先完成任务再进行刷新，请单击<i>完成工作</i>，再完成您的任务，然后单击页面右上角的<i>刷新会话</i>链接。</p><p>您的会话将在 {0} 分钟后自动刷新。</p>",""
