Big5,,,,
"RichTextArea",1,"Content that you pasted into this page contained errors. The invalid text has been removed--check your entries and resubmit.","在此頁面中貼附的內容包含錯誤。已移除無效的文字 - 請檢查您的輸入，然後重新提交。",""
"RichTextAreaScript",a001,"Bold","粗體",""
"RichTextAreaScript",a002,"Italic","斜體",""
"RichTextAreaScript",a003,"Underline","底線",""
"RichTextAreaScript",a004,"Ordered List","排序清單",""
"RichTextAreaScript",a005,"Bulleted List","項目符號清單",""
"RichTextAreaScript",a006,"Font Color","字體顏色",""
"RichTextAreaScript",a007,"Background Color","背景顏色",""
"RichTextAreaScript",a008,"size","大小",""
"RichTextAreaScript",a009,"OK","確定",""
"RichTextAreaScript",a010,"Click a color","按一下某種顏色",""
"RichTextAreaScript",a011,"Sample","範例",""
"RichTextAreaScript",a012,"Color","顏色",""
"RichTextAreaScript",a013,"Close","結束",""
"RichTextAreaScript",a014,"Maximize/Minimize Editor","最大化/最小化編輯器",""
"RichTextAreaScript",a015,"font","字型",""
"RichTextAreaScript",a016,"Arial","Arial",""
"RichTextAreaScript",a017,"Courier New","Courier New",""
"RichTextAreaScript",a018,"Georgia","Georgia",""
"RichTextAreaScript",a019,"Tahoma","Tahoma",""
"RichTextAreaScript",a020,"Times New Roman","Times New Roman",""
"RichTextAreaScript",a021,"Verdana","Verdana",""
"RichTextAreaScript",a022,"Impact","Impact",""
"RichTextAreaScript",a023,"WingDings","WingDings",""
"RichTextAreaScript",a024,"MS UI Gothic","MS UI Gothic",""
"RichTextAreaScript",a025,"Remove formatting","移除格式",""
"RichTextAreaScript",a026,"Are you sure you want to remove all formatting?","是否確定要移除格式？",""
